node,benchmark,matrix_size,num_threads,block_size_row,block_size_col,num_elements,num_elements_uncomplete,chunk_size,grain_size,num_blocks,num_blocks/chunk_size,num_elements*chunk_size,num_blocks/num_threads,num_blocks/(chunk_size*(num_threads-1)),L1cache,L2cache,L3cache,cache_line,cache_block,datatype,cost,mflops
marvin,dmatdmatadd,200,1,12,1024,2400,0,1,2400,17,17.0,2400,17.0,0,32768,262144,20971520,64,512,8,900.0,375.433
marvin,dmatdmatadd,230,1,12,1024,2760,0,1,2760,20,20.0,2760,20.0,0,32768,262144,20971520,64,512,8,1035.0,426.418
marvin,dmatdmatadd,264,1,12,1024,3168,0,1,3168,22,22.0,3168,22.0,0,32768,262144,20971520,64,512,8,1188.0,453.313
marvin,dmatdmatadd,300,1,12,1024,3600,0,1,3600,25,25.0,3600,25.0,0,32768,262144,20971520,64,512,8,1350.0,481.291
marvin,dmatdmatadd,345,1,12,1024,4140,0,1,4140,29,29.0,4140,29.0,0,32768,262144,20971520,64,512,8,1552.5,519.991
marvin,dmatdmatadd,396,1,12,1024,4752,0,1,4752,33,33.0,4752,33.0,0,32768,262144,20971520,64,512,8,1782.0,572.956
marvin,dmatdmatadd,455,1,12,1024,5460,0,1,5460,38,38.0,5460,38.0,0,32768,262144,20971520,64,512,8,2047.5,595.659
marvin,dmatdmatadd,523,1,12,1024,6276,0,1,6276,44,44.0,6276,44.0,0,32768,262144,20971520,64,512,8,2353.5,662.239
marvin,dmatdmatadd,600,1,12,1024,7200,0,1,7200,50,50.0,7200,50.0,0,32768,262144,20971520,64,512,8,2700.0,691.456
marvin,dmatdmatadd,690,1,12,1024,8280,0,1,8280,58,58.0,8280,58.0,0,32768,262144,20971520,64,512,8,3105.0,679.731
marvin,dmatdmatadd,793,1,12,1024,9516,0,1,9516,67,67.0,9516,67.0,0,32768,262144,20971520,64,512,8,3568.5,685.564
marvin,dmatdmatadd,912,1,12,1024,10944,0,1,10944,76,76.0,10944,76.0,0,32768,262144,20971520,64,512,8,4104.0,580.202
