
 Dense Vector/Dense Vector Addition:
   Blaze [MFlop/s]:
     10000000    839.887
   N=10000000, steps=167
     Blaze       = 1        (1.98836)
/threads{locality#0/total}/idle-rate,1,7.594295,[s],835,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,7.594299,[s],113,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,7.594323,[s],1192,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,7.594319,[s],1201,[0.01%]
/threads{locality#0/total}/time/average,1,7.594347,[s],2.26015e+06,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,1,7.594329,[s],2.31263e+06,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average,1,7.594325,[s],2.20276e+06,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/average,1,7.594349,[s],2.26458e+06,[ns]
/threads{locality#0/total}/time/cumulative-overhead,1,7.594336,[s],1.87922e+09,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,1,7.594333,[s],8.49934e+07,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/cumulative-overhead,1,7.594351,[s],8.9352e+08,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/cumulative-overhead,1,7.594340,[s],9.00714e+08,[ns]
/threads{locality#0/total}/count/cumulative,1,7.594340,[s],9115
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,1,7.594353,[s],3204
/threads{locality#0/pool#default/worker-thread#1}/count/cumulative,1,7.594343,[s],3001
/threads{locality#0/pool#default/worker-thread#2}/count/cumulative,1,7.594342,[s],2911
/threads{locality#0/total}/time/average-overhead,1,7.594351,[s],205965,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,1,7.594345,[s],26527,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average-overhead,1,7.594348,[s],297443,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/average-overhead,1,7.594358,[s],308994,[ns]
