node,problem_size,num_blocks,num_threads,chunk_size,iter_length,grain_size,work_per_core,num_tasks,execution_time
c7-spt,1000.0,1000.0,1.0,-1.0,1.0,-1.0,1000.0,-1000.0,1135.1403999999998
c7-spt,10000.0,10000.0,1.0,-1.0,1.0,-1.0,10000.0,-10000.0,10930.795800000002
c7-spt,100000.0,100000.0,1.0,-1.0,1.0,-1.0,100000.0,-100000.0,104530.70640000001
c7-spt,1000000.0,1000000.0,1.0,-1.0,1.0,-1.0,1000000.0,-1000000.0,1044936.1129999999
c7-spt,10000000.0,10000000.0,1.0,-1.0,1.0,-1.0,10000000.0,-10000000.0,10449031.115400001
c7-spt,100000000.0,100000000.0,1.0,-1.0,1.0,-1.0,100000000.0,-100000000.0,104450695.441
c7-spt,1000.0,1000.0,2.0,-1.0,1.0,-1.0,500.0,-1000.0,943.8263999999999
c7-spt,10000.0,10000.0,2.0,-1.0,1.0,-1.0,5000.0,-10000.0,9843.7356
c7-spt,100000.0,100000.0,2.0,-1.0,1.0,-1.0,50000.0,-100000.0,57018.7706
c7-spt,1000000.0,1000000.0,2.0,-1.0,1.0,-1.0,500000.0,-1000000.0,526754.1870000002
c7-spt,10000000.0,10000000.0,2.0,-1.0,1.0,-1.0,5000000.0,-10000000.0,5249951.3256
c7-spt,100000000.0,100000000.0,2.0,-1.0,1.0,-1.0,50000000.0,-100000000.0,53045114.013
c7-spt,1000.0,1000.0,3.0,-1.0,1.0,-1.0,333.0,-1000.0,802.7596000000001
c7-spt,10000.0,10000.0,3.0,-1.0,1.0,-1.0,3333.0,-10000.0,7264.5906
c7-spt,100000.0,100000.0,3.0,-1.0,1.0,-1.0,33333.0,-100000.0,38910.2628
c7-spt,1000000.0,1000000.0,3.0,-1.0,1.0,-1.0,333333.0,-1000000.0,355542.8224
c7-spt,10000000.0,10000000.0,3.0,-1.0,1.0,-1.0,3333333.0,-10000000.0,3531506.3111999994
c7-spt,100000000.0,100000000.0,3.0,-1.0,1.0,-1.0,33333333.0,-100000000.0,35279861.921399996
c7-spt,1000.0,1000.0,4.0,-1.0,1.0,-1.0,250.0,-1000.0,629.1333999999999
c7-spt,10000.0,10000.0,4.0,-1.0,1.0,-1.0,2500.0,-10000.0,5407.6104
c7-spt,100000.0,100000.0,4.0,-1.0,1.0,-1.0,25000.0,-100000.0,29672.2238
c7-spt,1000000.0,1000000.0,4.0,-1.0,1.0,-1.0,250000.0,-1000000.0,267742.86500000005
c7-spt,10000000.0,10000000.0,4.0,-1.0,1.0,-1.0,2500000.0,-10000000.0,2647864.7551999995
c7-spt,100000000.0,100000000.0,4.0,-1.0,1.0,-1.0,25000000.0,-100000000.0,26461994.7424
c7-spt,1000.0,1000.0,5.0,-1.0,1.0,-1.0,200.0,-1000.0,688.3178
c7-spt,10000.0,10000.0,5.0,-1.0,1.0,-1.0,2000.0,-10000.0,4246.801600000001
c7-spt,100000.0,100000.0,5.0,-1.0,1.0,-1.0,20000.0,-100000.0,23560.208000000002
c7-spt,1000000.0,1000000.0,5.0,-1.0,1.0,-1.0,200000.0,-1000000.0,212027.18339999998
c7-spt,10000000.0,10000000.0,5.0,-1.0,1.0,-1.0,2000000.0,-10000000.0,2096500.1384
c7-spt,100000000.0,100000000.0,5.0,-1.0,1.0,-1.0,20000000.0,-100000000.0,20960348.093200002
c7-spt,1000.0,1000.0,6.0,-1.0,1.0,-1.0,166.0,-1000.0,668.5732
c7-spt,10000.0,10000.0,6.0,-1.0,1.0,-1.0,1666.0,-10000.0,4907.9694
c7-spt,100000.0,100000.0,6.0,-1.0,1.0,-1.0,16666.0,-100000.0,21172.485600000004
c7-spt,1000000.0,1000000.0,6.0,-1.0,1.0,-1.0,166666.0,-1000000.0,178256.25499999998
c7-spt,10000000.0,10000000.0,6.0,-1.0,1.0,-1.0,1666666.0,-10000000.0,1748641.3891999996
c7-spt,100000000.0,100000000.0,6.0,-1.0,1.0,-1.0,16666666.0,-100000000.0,17454586.6688
c7-spt,1000.0,1000.0,7.0,-1.0,1.0,-1.0,142.0,-1000.0,514.4639999999999
c7-spt,10000.0,10000.0,7.0,-1.0,1.0,-1.0,1428.0,-10000.0,4844.8026
c7-spt,100000.0,100000.0,7.0,-1.0,1.0,-1.0,14285.0,-100000.0,19063.119799999997
c7-spt,1000000.0,1000000.0,7.0,-1.0,1.0,-1.0,142857.0,-1000000.0,157207.8348
c7-spt,10000000.0,10000000.0,7.0,-1.0,1.0,-1.0,1428571.0,-10000000.0,1536937.5222
c7-spt,100000000.0,100000000.0,7.0,-1.0,1.0,-1.0,14285714.0,-100000000.0,15161153.571399998
c7-spt,1000.0,1000.0,8.0,-1.0,1.0,-1.0,125.0,-1000.0,534.7078
c7-spt,10000.0,10000.0,8.0,-1.0,1.0,-1.0,1250.0,-10000.0,3491.958
c7-spt,100000.0,100000.0,8.0,-1.0,1.0,-1.0,12500.0,-100000.0,17800.5128
c7-spt,1000000.0,1000000.0,8.0,-1.0,1.0,-1.0,125000.0,-1000000.0,136640.8214
c7-spt,10000000.0,10000000.0,8.0,-1.0,1.0,-1.0,1250000.0,-10000000.0,1345941.1692
c7-spt,100000000.0,100000000.0,8.0,-1.0,1.0,-1.0,12500000.0,-100000000.0,13265806.7742
