node,problem_size,num_blocks,num_threads,chunk_size,iter_length,grain_size,work_per_core,num_tasks,execution_time
c7-spt,1000.0,1000.0,1.0,-1.0,1.0,-1.0,1000.0,-1000.0,1157.4956
c7-spt,10000.0,10000.0,1.0,-1.0,1.0,-1.0,10000.0,-10000.0,10918.7266
c7-spt,100000.0,100000.0,1.0,-1.0,1.0,-1.0,100000.0,-100000.0,104552.4938
c7-spt,1000000.0,1000000.0,1.0,-1.0,1.0,-1.0,1000000.0,-1000000.0,1044690.5986000001
c7-spt,10000000.0,10000000.0,1.0,-1.0,1.0,-1.0,10000000.0,-10000000.0,10447494.9278
c7-spt,100000000.0,100000000.0,1.0,-1.0,1.0,-1.0,100000000.0,-100000000.0,104458939.49100001
c7-spt,1000.0,1000.0,2.0,-1.0,1.0,-1.0,500.0,-1000.0,1036.1902
c7-spt,10000.0,10000.0,2.0,-1.0,1.0,-1.0,5000.0,-10000.0,9833.45
c7-spt,100000.0,100000.0,2.0,-1.0,1.0,-1.0,50000.0,-100000.0,95033.148
c7-spt,1000000.0,1000000.0,2.0,-1.0,1.0,-1.0,500000.0,-1000000.0,631276.0398
c7-spt,10000000.0,10000000.0,2.0,-1.0,1.0,-1.0,5000000.0,-10000000.0,7325451.332200001
c7-spt,100000000.0,100000000.0,2.0,-1.0,1.0,-1.0,50000000.0,-100000000.0,62791251.1966
c7-spt,1000.0,1000.0,3.0,-1.0,1.0,-1.0,333.0,-1000.0,1007.3536
c7-spt,10000.0,10000.0,3.0,-1.0,1.0,-1.0,3333.0,-10000.0,7150.783200000001
c7-spt,100000.0,100000.0,3.0,-1.0,1.0,-1.0,33333.0,-100000.0,47762.8802
c7-spt,1000000.0,1000000.0,3.0,-1.0,1.0,-1.0,333333.0,-1000000.0,587090.2644
c7-spt,10000000.0,10000000.0,3.0,-1.0,1.0,-1.0,3333333.0,-10000000.0,5249384.3198
c7-spt,100000000.0,100000000.0,3.0,-1.0,1.0,-1.0,33333333.0,-100000000.0,49086609.1222
c7-spt,1000.0,1000.0,4.0,-1.0,1.0,-1.0,250.0,-1000.0,883.5264000000001
c7-spt,10000.0,10000.0,4.0,-1.0,1.0,-1.0,2500.0,-10000.0,6299.0952
c7-spt,100000.0,100000.0,4.0,-1.0,1.0,-1.0,25000.0,-100000.0,36292.238
c7-spt,1000000.0,1000000.0,4.0,-1.0,1.0,-1.0,250000.0,-1000000.0,422448.451
c7-spt,10000000.0,10000000.0,4.0,-1.0,1.0,-1.0,2500000.0,-10000000.0,3518550.2709999993
c7-spt,100000000.0,100000000.0,4.0,-1.0,1.0,-1.0,25000000.0,-100000000.0,42767015.261199996
c7-spt,1000.0,1000.0,5.0,-1.0,1.0,-1.0,200.0,-1000.0,711.2736000000001
c7-spt,10000.0,10000.0,5.0,-1.0,1.0,-1.0,2000.0,-10000.0,5685.9858
c7-spt,100000.0,100000.0,5.0,-1.0,1.0,-1.0,20000.0,-100000.0,37509.212799999994
c7-spt,1000000.0,1000000.0,5.0,-1.0,1.0,-1.0,200000.0,-1000000.0,278990.533
c7-spt,10000000.0,10000000.0,5.0,-1.0,1.0,-1.0,2000000.0,-10000000.0,3149713.1668000002
c7-spt,100000000.0,100000000.0,5.0,-1.0,1.0,-1.0,20000000.0,-100000000.0,30137264.7194
c7-spt,1000.0,1000.0,6.0,-1.0,1.0,-1.0,166.0,-1000.0,650.2710000000001
c7-spt,10000.0,10000.0,6.0,-1.0,1.0,-1.0,1666.0,-10000.0,5207.118
c7-spt,100000.0,100000.0,6.0,-1.0,1.0,-1.0,16666.0,-100000.0,25514.9492
c7-spt,1000000.0,1000000.0,6.0,-1.0,1.0,-1.0,166666.0,-1000000.0,340174.7454
c7-spt,10000000.0,10000000.0,6.0,-1.0,1.0,-1.0,1666666.0,-10000000.0,2762062.8155999994
c7-spt,100000000.0,100000000.0,6.0,-1.0,1.0,-1.0,16666666.0,-100000000.0,33302172.364200003
c7-spt,1000.0,1000.0,7.0,-1.0,1.0,-1.0,142.0,-1000.0,545.794
c7-spt,10000.0,10000.0,7.0,-1.0,1.0,-1.0,1428.0,-10000.0,4054.4354
c7-spt,100000.0,100000.0,7.0,-1.0,1.0,-1.0,14285.0,-100000.0,25096.321000000004
c7-spt,1000000.0,1000000.0,7.0,-1.0,1.0,-1.0,142857.0,-1000000.0,294006.5114
c7-spt,10000000.0,10000000.0,7.0,-1.0,1.0,-1.0,1428571.0,-10000000.0,2555873.4422
c7-spt,100000000.0,100000000.0,7.0,-1.0,1.0,-1.0,14285714.0,-100000000.0,26795790.859199997
c7-spt,1000.0,1000.0,8.0,-1.0,1.0,-1.0,125.0,-1000.0,673.5695999999999
c7-spt,10000.0,10000.0,8.0,-1.0,1.0,-1.0,1250.0,-10000.0,3262.1126
c7-spt,100000.0,100000.0,8.0,-1.0,1.0,-1.0,12500.0,-100000.0,18161.549
c7-spt,1000000.0,1000000.0,8.0,-1.0,1.0,-1.0,125000.0,-1000000.0,179485.1446
c7-spt,10000000.0,10000000.0,8.0,-1.0,1.0,-1.0,1250000.0,-10000000.0,2112842.2292000004
c7-spt,100000000.0,100000000.0,8.0,-1.0,1.0,-1.0,12500000.0,-100000000.0,23792885.835399996
