Initialization
/threads{locality#0/total}/time/cumulative,1,0.010900,[s],1.104e+07,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative,1,0.010809,[s],0,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/cumulative,1,0.010841,[s],23668,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/cumulative,1,0.011001,[s],318153,[ns]
/threads{locality#0/total}/idle-rate,1,0.010938,[s],6368,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.010857,[s],403,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.010840,[s],716,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.010961,[s],10000,[0.01%]
/threads{locality#0/total}/time/average,1,0.010867,[s],192450,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,1,0.011013,[s],13630,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average,1,0.010981,[s],8156,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/average,1,0.010886,[s],-9.22337e+18,[ns]
/threads{locality#0/total}/time/cumulative-overhead,1,0.011021,[s],8.33646e+06,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,1,0.010894,[s],7.61652e+06,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/cumulative-overhead,1,0.010921,[s],3.5472e+06,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/cumulative-overhead,1,0.010935,[s],0,[ns]
/threads{locality#0/total}/count/cumulative,1,0.011033,[s],70
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,1,0.010948,[s],1
/threads{locality#0/pool#default/worker-thread#1}/count/cumulative,1,0.010882,[s],1
/threads{locality#0/pool#default/worker-thread#2}/count/cumulative,1,0.010961,[s],0
/threads{locality#0/total}/time/average-overhead,1,0.010977,[s],224303,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,1,0.010896,[s],363147,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average-overhead,1,0.010990,[s],-120,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/average-overhead,1,0.010912,[s],-78,[ns]
Done
/threads{locality#0/total}/time/cumulative,2,0.082344,[s],1.05338e+08,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative,2,0.082290,[s],486382,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/cumulative,2,0.082471,[s],6.99093e+07,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/cumulative,2,0.082295,[s],3.49898e+07,[ns]
