Initialization
/threads{locality#0/total}/time/cumulative,1,0.015220,[s],1.44562e+07,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative,1,0.015254,[s],49711,[ns]
/threads{locality#0/total}/idle-rate,1,0.015268,[s],249,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.015278,[s],694,[0.01%]
/threads{locality#0/total}/time/average,1,0.015288,[s],427574,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,1,0.015297,[s],8933,[ns]
/threads{locality#0/total}/time/cumulative-overhead,1,0.015322,[s],390036,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,1,0.015334,[s],961,[ns]
/threads{locality#0/total}/count/cumulative,1,0.015344,[s],38
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,1,0.015353,[s],1
/threads{locality#0/total}/time/average-overhead,1,0.015362,[s],9841,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,1,0.015372,[s],-62,[ns]
Done
/threads{locality#0/total}/time/cumulative,2,0.016961,[s],1.64629e+06,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative,2,0.016975,[s],1.66273e+06,[ns]
/threads{locality#0/total}/idle-rate,2,0.016984,[s],188,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,2,0.016993,[s],191,[0.01%]
/threads{locality#0/total}/time/average,2,0.017002,[s],137283,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,2,0.017013,[s],127340,[ns]
/threads{locality#0/total}/time/cumulative-overhead,2,0.017022,[s],16735,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,2,0.017033,[s],17548,[ns]
/threads{locality#0/total}/count/cumulative,2,0.017041,[s],12
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,2,0.017055,[s],13
/threads{locality#0/total}/time/average-overhead,2,0.017064,[s],1363,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,2,0.017073,[s],1323,[ns]
split type:idle_mask
num_iterations 1000,                    for_loop             par splittable_executor in 2245.174000 microseconds , queue              default, numa    0, threads    1

Initialization
/threads{locality#0/total}/time/cumulative,3,0.017408,[s],2.07443e+06,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative,3,0.017422,[s],16918,[ns]
/threads{locality#0/total}/idle-rate,3,0.017432,[s],201,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,3,0.017441,[s],881,[0.01%]
/threads{locality#0/total}/time/average,3,0.017450,[s],86538,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,3,0.017459,[s],8455,[ns]
/threads{locality#0/total}/time/cumulative-overhead,3,0.017469,[s],27862,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,3,0.017478,[s],855,[ns]
/threads{locality#0/total}/count/cumulative,3,0.017487,[s],24
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,3,0.017499,[s],1
/threads{locality#0/total}/time/average-overhead,3,0.017508,[s],1142,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,3,0.017519,[s],-53,[ns]
Done
/threads{locality#0/total}/time/cumulative,4,0.018917,[s],1.45359e+06,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative,4,0.018931,[s],1.46944e+06,[ns]
/threads{locality#0/total}/idle-rate,4,0.018940,[s],104,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,4,0.018949,[s],110,[0.01%]
/threads{locality#0/total}/time/average,4,0.018958,[s],121666,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,4,0.018967,[s],112928,[ns]
/threads{locality#0/total}/time/cumulative-overhead,4,0.018976,[s],15649,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,4,0.018985,[s],16476,[ns]
/threads{locality#0/total}/count/cumulative,4,0.018997,[s],12
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,4,0.019006,[s],13
/threads{locality#0/total}/time/average-overhead,4,0.019018,[s],1284,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,4,0.019027,[s],1252,[ns]
split type:idle_mask
num_iterations 1000,                    for_loop             par splittable_executor in 1888.092000 microseconds , queue              default, numa    0, threads    1

Initialization
/threads{locality#0/total}/time/cumulative,5,0.019285,[s],1.80212e+06,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative,5,0.019310,[s],18634,[ns]
/threads{locality#0/total}/idle-rate,5,0.019322,[s],145,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,5,0.019331,[s],989,[0.01%]
/threads{locality#0/total}/time/average,5,0.019341,[s],76025,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,5,0.019350,[s],8446,[ns]
/threads{locality#0/total}/time/cumulative-overhead,5,0.019360,[s],27477,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,5,0.019369,[s],846,[ns]
/threads{locality#0/total}/count/cumulative,5,0.019378,[s],24
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,5,0.019390,[s],1
/threads{locality#0/total}/time/average-overhead,5,0.019400,[s],1148,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,5,0.019409,[s],-42,[ns]
Done
/threads{locality#0/total}/time/cumulative,6,0.020800,[s],1.45805e+06,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative,6,0.020813,[s],1.47348e+06,[ns]
/threads{locality#0/total}/idle-rate,6,0.020823,[s],109,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,6,0.020832,[s],115,[0.01%]
/threads{locality#0/total}/time/average,6,0.020841,[s],121020,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,6,0.020850,[s],112336,[ns]
/threads{locality#0/total}/time/cumulative-overhead,6,0.020860,[s],15919,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,6,0.020869,[s],16741,[ns]
/threads{locality#0/total}/count/cumulative,6,0.020880,[s],12
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,6,0.020889,[s],13
/threads{locality#0/total}/time/average-overhead,6,0.020898,[s],1311,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,6,0.020907,[s],1280,[ns]
split type:idle_mask
num_iterations 1000,                    for_loop             par splittable_executor in 1832.035000 microseconds , queue              default, numa    0, threads    1

/threads{locality#0/total}/time/cumulative,7,0.021968,[s],2.56996e+06,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative,7,0.021974,[s],2.57655e+06,[ns]
/threads{locality#0/total}/idle-rate,7,0.021976,[s],238,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,7,0.021978,[s],240,[0.01%]
/threads{locality#0/total}/time/average,7,0.021980,[s],64974,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,7,0.021982,[s],63383,[ns]
/threads{locality#0/total}/time/cumulative-overhead,7,0.021984,[s],61207,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,7,0.021986,[s],61851,[ns]
/threads{locality#0/total}/count/cumulative,7,0.021988,[s],39
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,7,0.021990,[s],40
/threads{locality#0/total}/time/average-overhead,7,0.021992,[s],1546,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,7,0.021995,[s],1526,[ns]
