Initialization
/threads{locality#0/total}/idle-rate,1,0.009616,[s],366,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.009645,[s],331,[0.01%]
/threads{locality#0/total}/time/average,1,0.009654,[s],270499,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,1,0.009662,[s],6278,[ns]
/threads{locality#0/total}/time/cumulative-overhead,1,0.009670,[s],289961,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,1,0.009680,[s],684,[ns]
/threads{locality#0/total}/count/cumulative,1,0.009688,[s],32
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,1,0.009696,[s],1
/threads{locality#0/total}/time/average-overhead,1,0.009704,[s],8604,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,1,0.009712,[s],-40,[ns]
Done
/threads{locality#0/total}/idle-rate,2,1.065679,[s],0,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,2,1.065687,[s],0,[0.01%]
/threads{locality#0/total}/time/average,2,1.065692,[s],8.74898e+07,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,2,1.065696,[s],7.95365e+07,[ns]
/threads{locality#0/total}/time/cumulative-overhead,2,1.065700,[s],17587,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,2,1.065705,[s],17882,[ns]
/threads{locality#0/total}/count/cumulative,2,1.065710,[s],10
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,2,1.065718,[s],11
/threads{locality#0/total}/time/average-overhead,2,1.065723,[s],1641,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,2,1.065727,[s],1521,[ns]
split type:idle_mask
num_iterations 1000000,                    for_loop             par splittable_executor in 1056454.712000 microseconds , queue              default, numa    0, threads    1

Initialization
/threads{locality#0/total}/idle-rate,3,1.065916,[s],0,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,3,1.065926,[s],618,[0.01%]
/threads{locality#0/total}/time/average,3,1.065931,[s],4.37546e+07,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,3,1.065936,[s],3781,[ns]
/threads{locality#0/total}/time/cumulative-overhead,3,1.065940,[s],21292,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,3,1.065947,[s],302,[ns]
/threads{locality#0/total}/count/cumulative,3,1.065952,[s],20
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,3,1.065956,[s],1
/threads{locality#0/total}/time/average-overhead,3,1.065961,[s],1008,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,3,1.065966,[s],-21,[ns]
Done
/threads{locality#0/total}/idle-rate,4,2.119476,[s],0,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,4,2.119483,[s],0,[0.01%]
/threads{locality#0/total}/time/average,4,2.119488,[s],8.72854e+07,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,4,2.119493,[s],7.93507e+07,[ns]
/threads{locality#0/total}/time/cumulative-overhead,4,2.119498,[s],6793,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,4,2.119502,[s],7119,[ns]
/threads{locality#0/total}/count/cumulative,4,2.119507,[s],10
