Initialization
/threads{locality#0/total}/time/cumulative,1,0.012144,[s],1.28724e+07,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative,1,0.012041,[s],0,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/cumulative,1,0.012201,[s],66235,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/cumulative,1,0.012189,[s],0,[ns]
/threads{locality#0/total}/idle-rate,1,0.012081,[s],6230,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.012227,[s],492,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.012218,[s],680,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.012107,[s],205,[0.01%]
/threads{locality#0/total}/time/average,1,0.012346,[s],21291,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,1,0.012244,[s],423464,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average,1,0.012132,[s],202073,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/average,1,0.012185,[s],89854,[ns]
/threads{locality#0/total}/time/cumulative-overhead,1,0.012298,[s],1.70454e+07,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,1,0.012155,[s],4.414e+06,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/cumulative-overhead,1,0.012271,[s],1323,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/cumulative-overhead,1,0.012439,[s],4526,[ns]
/threads{locality#0/total}/count/cumulative,1,0.012281,[s],68
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,1,0.012389,[s],0
/threads{locality#0/pool#default/worker-thread#1}/count/cumulative,1,0.012517,[s],2
/threads{locality#0/pool#default/worker-thread#2}/count/cumulative,1,0.012351,[s],1
/threads{locality#0/total}/time/average-overhead,1,0.012491,[s],298389,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,1,0.012536,[s],-105,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average-overhead,1,0.012407,[s],0,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/average-overhead,1,0.012521,[s],-138,[ns]
Done
/threads{locality#0/total}/time/cumulative,2,0.013508,[s],2.77118e+06,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative,2,0.013413,[s],970858,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/cumulative,2,0.013536,[s],652499,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/cumulative,2,0.013557,[s],1.24426e+06,[ns]
/threads{locality#0/total}/idle-rate,2,0.013567,[s],3597,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,2,0.013446,[s],3090,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,2,0.013460,[s],4908,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,2,0.013476,[s],2662,[0.01%]
/threads{locality#0/total}/time/average,2,0.013587,[s],113898,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,2,0.013493,[s],120362,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average,2,0.013622,[s],64581,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/average,2,0.013524,[s],123121,[ns]
/threads{locality#0/total}/time/cumulative-overhead,2,0.013612,[s],1.42521e+06,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,2,0.013546,[s],398299,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/cumulative-overhead,2,0.013637,[s],664454,[ns]
