num_iterations 10000000,                    for_loop             par splittable_executor in 10538293.849000 microseconds , queue              default, numa    0, threads    2

num_iterations 10000000,                    for_loop             par splittable_executor in 15802456.956000 microseconds , queue              default, numa    0, threads    2

num_iterations 10000000,                    for_loop             par splittable_executor in 15801886.165000 microseconds , queue              default, numa    0, threads    2

num_iterations 10000000,                    for_loop             par splittable_executor in 15801816.261000 microseconds , queue              default, numa    0, threads    2

num_iterations 10000000,                    for_loop             par splittable_executor in 15803040.692000 microseconds , queue              default, numa    0, threads    2

num_iterations 10000000,                    for_loop             par splittable_executor in 15803011.564000 microseconds , queue              default, numa    0, threads    2

Initialization
/threads{locality#0/total}/idle-rate,1,89.602551,[s],5,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,89.602700,[s],5,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,89.602580,[s],9999,[0.01%]
/threads{locality#0/total}/time/average,1,89.602706,[s],1.74136e+08,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,1,89.602582,[s],3.41575e+09,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average,1,89.602708,[s],-9.22337e+18,[ns]
/threads{locality#0/total}/time/cumulative-overhead,1,89.602584,[s],8.35921e+10,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,1,89.602711,[s],3707,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/cumulative-overhead,1,89.602585,[s],398,[ns]
/threads{locality#0/total}/count/cumulative,1,89.602602,[s],33
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,1,89.602588,[s],26
/threads{locality#0/pool#default/worker-thread#1}/count/cumulative,1,89.602712,[s],0
/threads{locality#0/total}/time/average-overhead,1,89.602590,[s],1.548e+09,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,1,89.602605,[s],-273,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average-overhead,1,89.602600,[s],-43,[ns]
Done
/threads{locality#0/total}/idle-rate,2,100.057976,[s],4999,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,2,100.058075,[s],282,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,2,100.058085,[s],0,[0.01%]
/threads{locality#0/total}/time/average,2,100.058081,[s],1.15147e+09,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,2,100.058086,[s],22341,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average,2,100.058083,[s],2.59077e+09,[ns]
/threads{locality#0/total}/time/cumulative-overhead,2,100.057985,[s],1.03632e+10,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,2,100.057989,[s],1.03631e+10,[ns]
