num_iterations 100000,                    for_loop             par splittable_executor in 158985.532000 microseconds , queue              default, numa    0, threads    2

num_iterations 100000,                    for_loop             par splittable_executor in 157695.113000 microseconds , queue              default, numa    0, threads    2

num_iterations 100000,                    for_loop             par splittable_executor in 157646.196000 microseconds , queue              default, numa    0, threads    2

num_iterations 100000,                    for_loop             par splittable_executor in 157751.746000 microseconds , queue              default, numa    0, threads    2

num_iterations 100000,                    for_loop             par splittable_executor in 157636.704000 microseconds , queue              default, numa    0, threads    2

num_iterations 100000,                    for_loop             par splittable_executor in 157654.357000 microseconds , queue              default, numa    0, threads    2

Initialization
/threads{locality#0/total}/idle-rate,1,0.999803,[s],487,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.999675,[s],9999,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.999821,[s],14,[0.01%]
/threads{locality#0/total}/time/average,1,0.999827,[s],4.11021e+07,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,1,0.999823,[s],1.63851e+06,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average,1,0.999679,[s],4.50164e+07,[ns]
/threads{locality#0/total}/time/cumulative-overhead,1,0.999825,[s],9.93283e+08,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,1,0.999680,[s],413,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/cumulative-overhead,1,0.999689,[s],1799,[ns]
/threads{locality#0/total}/count/cumulative,1,0.999694,[s],57
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,1,0.999696,[s],0
/threads{locality#0/pool#default/worker-thread#1}/count/cumulative,1,0.999698,[s],2
/threads{locality#0/total}/time/average-overhead,1,0.999700,[s],1.6555e+07,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,1,0.999702,[s],0,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average-overhead,1,0.999705,[s],-55,[ns]
Done
/threads{locality#0/total}/idle-rate,2,1.105213,[s],13,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,2,1.105227,[s],9982,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,2,1.105231,[s],13,[0.01%]
/threads{locality#0/total}/time/average,2,1.105236,[s],7.47522e+06,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,2,1.105238,[s],36427,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average,2,1.105241,[s],1.04474e+07,[ns]
/threads{locality#0/total}/time/cumulative-overhead,2,1.105245,[s],1.04781e+08,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,2,1.105249,[s],1.04643e+08,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/cumulative-overhead,2,1.105252,[s],140289,[ns]
/threads{locality#0/total}/count/cumulative,2,1.105256,[s],14
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,2,1.105259,[s],10
/threads{locality#0/pool#default/worker-thread#1}/count/cumulative,2,1.105262,[s],5
/threads{locality#0/total}/time/average-overhead,2,1.105267,[s],7.48414e+06,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,2,1.105270,[s],8.05034e+06,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average-overhead,2,1.105279,[s],63606,[ns]
num_iterations 100000,                    for_loop             par  parallel_executor in 105709.937000 microseconds , queue              default, numa    0, threads    2

Initialization
/threads{locality#0/total}/idle-rate,3,1.105459,[s],4996,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,3,1.105462,[s],9679,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,3,1.105467,[s],10000,[0.01%]
/threads{locality#0/total}/time/average,3,1.105472,[s],3.6184e+06,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,3,1.105477,[s],4180,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average,3,1.105483,[s],-9.22337e+18,[ns]
/threads{locality#0/total}/time/cumulative-overhead,3,1.105366,[s],147970,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,3,1.105487,[s],1.04834e+08,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/cumulative-overhead,3,1.105375,[s],806,[ns]
/threads{locality#0/total}/count/cumulative,3,1.105494,[s],27
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,3,1.105527,[s],3
/threads{locality#0/pool#default/worker-thread#1}/count/cumulative,3,1.105505,[s],0
/threads{locality#0/total}/time/average-overhead,3,1.105389,[s],823,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,3,1.105519,[s],4.36812e+06,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average-overhead,3,1.105535,[s],33442,[ns]
Done
/threads{locality#0/total}/idle-rate,4,1.210325,[s],15,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,4,1.210181,[s],380,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,4,1.210331,[s],14,[0.01%]
/threads{locality#0/total}/time/average,4,1.210184,[s],6.9676e+06,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,4,1.210333,[s],19909,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average,4,1.210185,[s],1.7386e+07,[ns]
/threads{locality#0/total}/time/cumulative-overhead,4,1.210335,[s],1.04218e+08,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,4,1.210186,[s],1.04071e+08,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/cumulative-overhead,4,1.210338,[s],148269,[ns]
/threads{locality#0/total}/count/cumulative,4,1.210188,[s],13
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,4,1.210339,[s],7
/threads{locality#0/pool#default/worker-thread#1}/count/cumulative,4,1.210189,[s],9
/threads{locality#0/total}/time/average-overhead,4,1.210341,[s],-4.73718e+06,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,4,1.210190,[s],1.04069e+08,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average-overhead,4,1.210342,[s],-6193,[ns]
num_iterations 100000,                    for_loop             par  parallel_executor in 104961.739000 microseconds , queue              default, numa    0, threads    2

Initialization
/threads{locality#0/total}/idle-rate,5,1.210430,[s],4992,[0.01%]
