
 Dense Vector/Dense Vector Addition:
   Blaze [MFlop/s]:
     1           49.2883
     2           96.3772
     3           145.525
     4           193.136
     5           223.434
     6           267.558
     7           309.133
     8           354.816
     9           369.19
     10          412.61
     11          449.165
     12          489.135
     13          535.248
     14          568.896
     15          609.454
     16          644.899
     17          616.509
     18          617.77
     19          684.64
     20          722.469
     22          764.379
     24          834.568
     26          814.599
     28          885.409
     30          934.05
     33          932.716
     36          978.5
     39          1111.92
     42          1054.3
     46          1028.93
     50          1160.8
     55          1275.74
     60          1163.2
     66          1328.99
     72          1377.64
     79          1508.43
     86          1501.52
     94          1516.28
     103         1651.03
     113         1571.96
     124         1739.96
     136         1654.69
     149         1723.4
     163         1773.49
     179         1755.01
     196         1815.25
     215         1848.89
     236         1869.32
     259         1415.98
     284         1947.74
     312         1915.59
     343         2008.37
     377         2004.45
     414         1988.49
     455         2016.13
     500         2102.47
     550         2064.88
     605         2006.67
     665         2115.68
     731         2163.03
     804         2167.37
     884         2198.49
     972         2086.68
     1069        2197.01
     1175        2291.35
     1292        2282.13
     1421        1081.48
     1563        865.355
     1719        735.855
     1890        736.86
     2079        726.033
     2286        727.706
     2514        739.615
     2765        729.487
     3041        729.661
     3345        748.921
     3679        756.593
     4046        752.413
     4450        752.804
     4895        760.359
     5384        732.008
     5922        768.38
     6514        758.334
     7165        640.483
     7881        758.676
     8669        751.169
     9535        739.416
     10488       667.699
     11536       670.553
     12689       663.045
     13957       639.117
     15352       530.64
     16887       503.521
     18575       491.787
     20432       476.363
     22475       471.664
     24722       473.942
     27194       472.892
     29913       473.645
     32904       471.764
     36194       476.79
     39813       296.917
     43794       326.851
     48173       362.258
     52990       399.279
     58289       443.389
     64117       496.224
     70528       552.534
     77580       618.211
     85338       693.588
     93871       767.163
     103258      885.839
     113583      1003.63
     124941      1145.21
     137435      1284.92
     151178      1462.72
     166295      1668.63
     182924      1835.99
     201216      2004.53
     221337      2159.04
     243470      2280.34
     267817      2455.21
     294598      2654.33
     324057      2843.44
     356462      3028.52
     392108      3127.25
     431318      3285.87
     474449      3544.74
     521893      3760.38
     574082      4082.61
     631490      4400.7
     694639      4491.03
     764102      4630.28
     840512      4942.3
     924563      4509.47
     1017019     4325.75
     1118720     3343.93
     1230592     3085.45
     1353651     2535.37
     1489016     2001.74
     1637917     1816.14
     1801708     1611.26
     1981878     1295.46
     2180065     1713
     2398071     1541.06
     2637878     1391.64
     2901665     1277.3
     3191831     1158.24
     3511014     1128.77
     3862115     1099.28
     4248326     1092.08
     4673158     1064.23
     5140474     1068.33
     5654521     1077.85
     6219973     1071.95
     6841970     1076.44
     7526167     1083.02
     8278784     1077.69
     9106663     1073.7
     10000000    1079.13
   N=1, steps=222617916
     Blaze       = 1        (4.51665)
   N=2, steps=222713386
     Blaze       = 1        (4.6217)
   N=3, steps=222696294
     Blaze       = 1        (4.5909)
   N=4, steps=222639398
     Blaze       = 1        (4.61104)
   N=5, steps=199566074
     Blaze       = 1        (4.46589)
   N=6, steps=199669984
     Blaze       = 1        (4.47761)
   N=7, steps=199562396
     Blaze       = 1        (4.51889)
   N=8, steps=199582064
     Blaze       = 1        (4.49995)
   N=9, steps=141248525
     Blaze       = 1        (3.44331)
   N=10, steps=185531707
     Blaze       = 1        (4.49654)
   N=11, steps=185434291
     Blaze       = 1        (4.54127)
   N=12, steps=185583083
     Blaze       = 1        (4.55293)
   N=13, steps=183129851
     Blaze       = 1        (4.44783)
   N=14, steps=184731473
     Blaze       = 1        (4.54607)
   N=15, steps=154379715
     Blaze       = 1        (3.79962)
   N=16, steps=184678022
     Blaze       = 1        (4.58188)
   N=17, steps=164259440
     Blaze       = 1        (4.52939)
   N=18, steps=164242762
     Blaze       = 1        (4.78555)
   N=19, steps=164187962
     Blaze       = 1        (4.55651)
   N=20, steps=141167059
     Blaze       = 1        (3.90791)
   N=22, steps=158621955
     Blaze       = 1        (4.56538)
   N=24, steps=158935436
     Blaze       = 1        (4.57057)
   N=26, steps=141502166
     Blaze       = 1        (4.5164)
   N=28, steps=141655700
     Blaze       = 1        (4.47969)
   N=30, steps=125129353
     Blaze       = 1        (4.01893)
