
 Dense Vector/Dense Vector Addition:
   Blaze [MFlop/s]:
     201216      1951.33
   N=201216, steps=19510
     Blaze       = 1        (2.01182)
/threads{locality#0/total}/idle-rate,1,6.561789,[s],2592,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,6.561531,[s],2612,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,6.561554,[s],2589,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,6.561815,[s],2576,[0.01%]
/threads{locality#0/total}/time/average,1,6.561562,[s],57724,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,1,6.561557,[s],58074,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average,1,6.561818,[s],56674,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/average,1,6.561824,[s],58456,[ns]
/threads{locality#0/total}/time/cumulative-overhead,1,6.561560,[s],5.06343e+09,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,1,6.561822,[s],1.70045e+09,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/cumulative-overhead,1,6.561564,[s],1.68566e+09,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/cumulative-overhead,1,6.561826,[s],1.67732e+09,[ns]
/threads{locality#0/total}/count/cumulative,1,6.561568,[s],250583
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,1,6.561831,[s],82812
/threads{locality#0/pool#default/worker-thread#1}/count/cumulative,1,6.561578,[s],85109
/threads{locality#0/pool#default/worker-thread#2}/count/cumulative,1,6.561841,[s],82664
/threads{locality#0/total}/time/average-overhead,1,6.561583,[s],20206,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,1,6.561846,[s],20533,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average-overhead,1,6.561590,[s],19805,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/average-overhead,1,6.561853,[s],20290,[ns]
