
 Dense Vector/Dense Vector Addition:
   Blaze [MFlop/s]:
     1           111.614
     2           223.403
     3           334.212
     4           446.304
     5           512.082
     6           612.494
     7           716.664
     8           819.463
     9           848.026
     10          943.626
     11          1034.39
     12          922.001
     13          1215.99
     14          1273.41
     15          1402.88
     16          1489.62
     17          1399.01
     18          1239.41
     19          1563.37
     20          1592.8
     22          1739.34
     24          1891.2
     26          1857.35
     28          2007.85
     30          2042.37
     33          2115.76
     36          2248.93
     39          2530.25
     42          2400.54
     46          2312.92
     50          2607.44
     55          2857.56
     60          2693.91
     66          2877.29
     72          3080.22
     79          3416.38
     86          3434.66
     94          3544.83
     103         3616.72
     113         3691.63
     124         4005.03
     136         3755.02
     149         3813.72
     163         4150.67
     179         3883.4
     196         4286.66
     215         4183.37
     236         4205.32
     259         3235.36
     284         4584.62
     312         4545.94
     343         4697.78
     377         4685.54
     414         4726.68
     455         4767.53
     500         4887.63
     550         4691.51
     605         4715.87
     665         4811.71
     731         4868.46
     804         4999.29
     884         5062.89
     972         5080.93
     1069        5078.81
     1175        5206.98
     1292        4091.69
     1421        2612.89
     1563        2080.36
     1719        1738.63
     1890        1749.3
     2079        1733.78
     2286        1692.64
     2514        1744.81
     2765        1733.51
     3041        1733.95
     3345        1756.82
     3679        1752.19
     4046        1757.28
     4450        1767.64
     4895        1729.79
     5384        1676.43
     5922        1751.99
     6514        1754.07
     7165        1470.01
     7881        1735.61
     8669        1678.16
     9535        1674.83
     10488       1468.06
     11536       1523.66
     12689       1463.16
     13957       1437.8
     15352       1225.72
     16887       1185.2
     18575       1133.23
     20432       1118.94
     22475       1097.95
     24722       1082.43
     27194       1075.78
     29913       1079.21
     32904       1079.43
     36194       1079.05
     39813       836.514
     43794       906.575
     48173       992.613
     52990       1077.99
     58289       1176.17
     64117       1277.01
     70528       1394.95
     77580       1467.54
     85338       1634.71
     93871       1752.77
     103258      1859.25
     113583      1954
     124941      2035.69
     137435      2208.36
     151178      2362.46
     166295      2509.3
     182924      2684.02
     201216      2835.45
     221337      3018.33
     243470      3176.96
     267817      3367.9
     294598      3533.33
     324057      3670.53
     356462      3899.03
     392108      4005.92
     431318      4156.77
     474449      4348.05
     521893      4499
     574082      4583.48
     631490      4592.51
     694639      4429.03
     764102      4104.31
     840512      3397.53
     924563      2878.82
     1017019     2397.88
     1118720     1907.42
     1230592     1550.95
     1353651     1379.34
     1489016     1376.98
     1637917     1201.93
     1801708     1138.66
     1981878     1201.66
     2180065     1232.77
     2398071     1208.63
     2637878     780.048
     2901665     883.656
     3191831     793.789
     3511014     819.737
     3862115     794.796
     4248326     769.2
     4673158     841.978
     5140474     781.638
     5654521     785.612
     6219973     805.301
     6841970     794.055
     7526167     781.949
     8278784     843.716
     9106663     835.283
     10000000    846.185
   N=1, steps=222318651
     Blaze       = 1        (1.99186)
   N=2, steps=222262650
     Blaze       = 1        (1.98979)
   N=3, steps=222272830
     Blaze       = 1        (1.9952)
   N=4, steps=222294421
     Blaze       = 1        (1.99232)
   N=5, steps=199674658
     Blaze       = 1        (1.94964)
   N=6, steps=199570178
     Blaze       = 1        (1.95499)
   N=7, steps=199560132
     Blaze       = 1        (1.9492)
   N=8, steps=199676500
     Blaze       = 1        (1.94934)
   N=9, steps=154406645
     Blaze       = 1        (1.6387)
   N=10, steps=185341128
     Blaze       = 1        (1.96414)
   N=11, steps=185655916
     Blaze       = 1        (1.97432)
   N=12, steps=185935780
     Blaze       = 1        (2.41998)
   N=13, steps=184387312
     Blaze       = 1        (1.97127)
   N=14, steps=184898449
     Blaze       = 1        (2.0328)
   N=15, steps=151842324
     Blaze       = 1        (1.62355)
   N=16, steps=184636955
     Blaze       = 1        (1.98319)
   N=17, steps=159560524
     Blaze       = 1        (1.93889)
   N=18, steps=164137984
     Blaze       = 1        (2.38378)
   N=19, steps=164333474
     Blaze       = 1        (1.99718)
   N=20, steps=148434092
     Blaze       = 1        (1.86381)
   N=22, steps=152168212
     Blaze       = 1        (1.9247)
   N=24, steps=158415377
     Blaze       = 1        (2.01035)
   N=26, steps=141916387
     Blaze       = 1        (1.98661)
   N=28, steps=141734876
     Blaze       = 1        (1.97654)
   N=30, steps=120548919
     Blaze       = 1        (1.77072)
   N=33, steps=125072418
     Blaze       = 1        (1.95078)
   N=36, steps=126357272
     Blaze       = 1        (2.02268)
   N=39, steps=112819872
     Blaze       = 1        (1.73895)
   N=42, steps=115407692
     Blaze       = 1        (2.01918)
   N=46, steps=111859681
     Blaze       = 1        (2.2247)
   N=50, steps=99103997
     Blaze       = 1        (1.90041)
   N=55, steps=104900530
     Blaze       = 1        (2.01904)
   N=60, steps=96865003
     Blaze       = 1        (2.15742)
   N=66, steps=88497000
     Blaze       = 1        (2.02996)
   N=72, steps=83815269
     Blaze       = 1        (1.95918)
   N=79, steps=87134891
     Blaze       = 1        (2.0149)
   N=86, steps=69618810
     Blaze       = 1        (1.74318)
   N=94, steps=73867477
     Blaze       = 1        (1.95878)
   N=103, steps=71380274
     Blaze       = 1        (2.03283)
   N=113, steps=66156183
     Blaze       = 1        (2.02503)
   N=124, steps=63846041
     Blaze       = 1        (1.97674)
   N=136, steps=56485691
     Blaze       = 1        (2.04581)
   N=149, steps=55080923
     Blaze       = 1        (2.15198)
   N=163, steps=51105349
     Blaze       = 1        (2.00695)
   N=179, steps=43831520
     Blaze       = 1        (2.02035)
   N=196, steps=42095431
     Blaze       = 1        (1.92474)
   N=215, steps=39880997
     Blaze       = 1        (2.04964)
   N=236, steps=36156400
     Blaze       = 1        (2.02907)
   N=259, steps=25039727
     Blaze       = 1        (2.0045)
   N=284, steps=30936782
     Blaze       = 1        (1.91642)
   N=312, steps=30181151
     Blaze       = 1        (2.07141)
   N=343, steps=26265030
     Blaze       = 1        (1.91769)
   N=377, steps=24262841
     Blaze       = 1        (1.95219)
   N=414, steps=23102183
     Blaze       = 1        (2.02347)
   N=455, steps=21877291
     Blaze       = 1        (2.08791)
   N=500, steps=18531316
     Blaze       = 1        (1.89574)
   N=550, steps=16896765
     Blaze       = 1        (1.98086)
   N=605, steps=15837302
     Blaze       = 1        (2.03177)
   N=665, steps=13874828
     Blaze       = 1        (1.91756)
   N=731, steps=12472057
     Blaze       = 1        (1.87268)
   N=804, steps=12347343
     Blaze       = 1        (1.98574)
   N=884, steps=11468559
     Blaze       = 1        (2.00245)
   N=972, steps=9753918
     Blaze       = 1        (1.86596)
   N=1069, steps=9632861
     Blaze       = 1        (2.02755)
   N=1175, steps=8385457
     Blaze       = 1        (1.89225)
   N=1292, steps=4729067
     Blaze       = 1        (1.49326)
   N=1421, steps=3463560
     Blaze       = 1        (1.88363)
   N=1563, steps=2222342
     Blaze       = 1        (1.66968)
   N=1719, steps=1978795
     Blaze       = 1        (1.95645)
   N=1890, steps=1830620
     Blaze       = 1        (1.97786)
   N=2079, steps=1662005
     Blaze       = 1        (1.99293)
   N=2286, steps=1501844
     Blaze       = 1        (2.02832)
   N=2514, steps=1394415
     Blaze       = 1        (2.00913)
   N=2765, steps=1134218
     Blaze       = 1        (1.80912)
   N=3041, steps=1151573
     Blaze       = 1        (2.01963)
   N=3345, steps=1055958
     Blaze       = 1        (2.01055)
   N=3679, steps=954447
     Blaze       = 1        (2.00402)
   N=4046, steps=856103
     Blaze       = 1        (1.97111)
   N=4450, steps=787625
     Blaze       = 1        (1.98283)
   N=4895, steps=714886
     Blaze       = 1        (2.02301)
   N=5384, steps=625320
     Blaze       = 1        (2.00827)
   N=5922, steps=593542
     Blaze       = 1        (2.00626)
   N=6514, steps=529913
     Blaze       = 1        (1.96791)
   N=7165, steps=408106
     Blaze       = 1        (1.98916)
   N=7881, steps=424271
     Blaze       = 1        (1.92651)
   N=8669, steps=368786
     Blaze       = 1        (1.90507)
   N=9535, steps=334912
     Blaze       = 1        (1.90669)
   N=10488, steps=273846
     Blaze       = 1        (1.95639)
   N=11536, steps=268090
     Blaze       = 1        (2.02977)
   N=12689, steps=239343
     Blaze       = 1        (2.07565)
   N=13957, steps=211042
     Blaze       = 1        (2.04863)
   N=15352, steps=153409
     Blaze       = 1        (1.92143)
   N=16887, steps=141877
     Blaze       = 1        (2.0215)
   N=18575, steps=121506
     Blaze       = 1        (1.99163)
   N=20432, steps=107959
     Blaze       = 1        (1.97135)
   N=22475, steps=97511
     Blaze       = 1        (1.99604)
   N=24722, steps=88204
     Blaze       = 1        (2.01453)
   N=27194, steps=80136
     Blaze       = 1        (2.02571)
   N=29913, steps=72198
     Blaze       = 1        (2.00114)
   N=32904, steps=65476
     Blaze       = 1        (1.99589)
   N=36194, steps=59526
     Blaze       = 1        (1.99665)
   N=39813, steps=40088
     Blaze       = 1        (1.90794)
   N=43794, steps=37087
     Blaze       = 1        (1.79157)
   N=48173, steps=38467
     Blaze       = 1        (1.86686)
   N=52990, steps=40329
     Blaze       = 1        (1.98243)
   N=58289, steps=39456
     Blaze       = 1        (1.95537)
   N=64117, steps=39051
     Blaze       = 1        (1.96069)
   N=70528, steps=38596
     Blaze       = 1        (1.9514)
   N=77580, steps=34208
     Blaze       = 1        (1.80837)
   N=85338, steps=33376
     Blaze       = 1        (1.74235)
   N=93871, steps=32364
     Blaze       = 1        (1.73328)
   N=103258, steps=33621
     Blaze       = 1        (1.86723)
   N=113583, steps=32634
     Blaze       = 1        (1.89696)
   N=124941, steps=32710
     Blaze       = 1        (2.00759)
   N=137435, steps=31679
     Blaze       = 1        (1.97151)
   N=151178, steps=30771
     Blaze       = 1        (1.96909)
   N=166295, steps=29339
     Blaze       = 1        (1.94434)
   N=182924, steps=28715
     Blaze       = 1        (1.95701)
   N=201216, steps=27801
     Blaze       = 1        (1.97288)
   N=221337, steps=26692
     Blaze       = 1        (1.95735)
   N=243470, steps=25859
     Blaze       = 1        (1.98173)
   N=267817, steps=24527
     Blaze       = 1        (1.9504)
   N=294598, steps=23421
     Blaze       = 1        (1.95277)
   N=324057, steps=22153
     Blaze       = 1        (1.95581)
   N=356462, steps=20907
     Blaze       = 1        (1.91138)
   N=392108, steps=20280
     Blaze       = 1        (1.98505)
   N=431318, steps=19255
     Blaze       = 1        (1.99795)
   N=474449, steps=18166
     Blaze       = 1        (1.98223)
   N=521893, steps=16699
     Blaze       = 1        (1.93712)
   N=574082, steps=15730
     Blaze       = 1        (1.97019)
   N=631490, steps=13755
     Blaze       = 1        (1.89137)
   N=694639, steps=12947
     Blaze       = 1        (2.03058)
   N=764102, steps=11462
     Blaze       = 1        (2.13389)
   N=840512, steps=9097
     Blaze       = 1        (2.2505)
   N=924563, steps=5899
     Blaze       = 1        (1.89452)
   N=1017019, steps=3287
     Blaze       = 1        (1.39412)
   N=1118720, steps=2235
     Blaze       = 1        (1.31085)
   N=1230592, steps=1492
     Blaze       = 1        (1.18382)
   N=1353651, steps=1302
     Blaze       = 1        (1.27776)
   N=1489016, steps=1395
     Blaze       = 1        (1.50851)
   N=1637917, steps=969
     Blaze       = 1        (1.3205)
   N=1801708, steps=873
     Blaze       = 1        (1.38136)
   N=1981878, steps=742
     Blaze       = 1        (1.22377)
   N=2180065, steps=675
     Blaze       = 1        (1.19369)
   N=2398071, steps=622
     Blaze       = 1        (1.23413)
   N=2637878, steps=591
     Blaze       = 1        (1.99858)
   N=2901665, steps=543
     Blaze       = 1        (1.78305)
   N=3191831, steps=496
     Blaze       = 1        (1.99442)
   N=3511014, steps=536
     Blaze       = 1        (2.29574)
   N=3862115, steps=415
     Blaze       = 1        (2.01659)
   N=4248326, steps=361
     Blaze       = 1        (1.99382)
   N=4673158, steps=328
     Blaze       = 1        (1.82047)
   N=5140474, steps=307
     Blaze       = 1        (2.019)
   N=5654521, steps=275
     Blaze       = 1        (1.97934)
   N=6219973, steps=249
     Blaze       = 1        (1.92322)
   N=6841970, steps=228
     Blaze       = 1        (1.96456)
   N=7526167, steps=206
     Blaze       = 1        (1.98273)
   N=8278784, steps=198
     Blaze       = 1        (1.94283)
   N=9106663, steps=193
     Blaze       = 1        (2.10418)
   N=10000000, steps=164
     Blaze       = 1        (1.93811)
