
 Dense Vector/Dense Vector Addition:
   Blaze [MFlop/s]:
     1           111.823
     2           225.989
     3           335.153
     4           447.648
     5           413.15
     6           615.164
     7           717.016
     8           820.183
     9           847.313
     10          928.19
     11          1020.93
     12          1113.88
     13          1213.01
     14          1306.31
     15          1399.59
     16          1492.96
     17          1367.08
     18          1447
     19          1527.77
     20          1608.2
     22          1665.53
     24          1817.03
     26          1857.05
     28          2000.02
     30          2057
     33          2150.12
     36          2346.84
     39          2552.74
     42          2397.78
     46          2690.69
     50          2609.78
     55          2847.5
     60          2702.16
     66          2771.51
     72          3127.51
     79          3419.58
     86          3450.7
     94          3539.65
     103         3809.89
     113         3662.98
     124         3706.23
     136         4105.7
     149         4027.01
     163         3989.61
     179         3824.07
     196         4000.55
     215         4212.28
     236         4195.8
     259         3411.97
     284         4697.74
     312         4536.83
     343         4537.74
     377         4920.64
     414         4818.53
     455         4818.15
     500         5206.32
     550         4728.9
     605         4829.62
     665         5048.65
     731         5122.6
     804         5049.3
     884         5104.48
     972         5274.65
     1069        5192.18
     1175        5240.5
     1292        4049.14
     1421        2529.7
     1563        2040.77
     1719        1727.96
     1890        1736.7
     2079        1703.83
     2286        1678.1
     2514        1719.73
     2765        1724.9
     3041        1715.94
     3345        1718.37
     3679        1727.33
     4046        1726.22
     4450        1739.58
     4895        1717.08
     5384        1622.38
     5922        1632.31
     6514        1604.86
     7165        1384.32
     7881        1564.57
     8669        1554.56
     9535        1562.62
     10488       1438.27
     11536       1474.5
     12689       1465.8
     13957       1396.95
     15352       1233.2
     16887       1213.51
     18575       1146.47
     20432       1119.26
     22475       1101.98
     24722       1086.98
     27194       1082.93
     29913       1086.29
     32904       1086.66
     36194       1085.83
     39813       2412.56
     43794       2367.72
     48173       2324.68
     52990       2303.56
     58289       2334.4
     64117       2372.61
     70528       2330.79
     77580       2321.53
     85338       2391
     93871       2375
     103258      2370.98
     113583      2341.72
     124941      2434.02
     137435      2726.51
     151178      2695.6
     166295      2615.73
     182924      2803.9
     201216      2425.65
     221337      2802.93
     243470      2401.9
     267817      2469.17
     294598      2610.84
     324057      2627.83
     356462      2658.81
     392108      2563.72
     431318      2612.74
     474449      2632.83
     521893      2618.54
     574082      2678.39
     631490      2600.3
     694639      2574.06
     764102      2283.91
     840512      2040.51
     924563      2007.13
     1017019     2580.48
     1118720     2436.76
     1230592     2185.79
     1353651     1910.93
     1489016     1708.85
     1637917     1590.87
     1801708     1435.7
     1981878     1335.95
     2180065     1241.13
     2398071     1154.99
     2637878     1007.48
     2901665     1155.59
     3191831     1073.33
     3511014     1064.87
     3862115     1112.56
     4248326     854.883
     4673158     849.965
     5140474     860.654
     5654521     892.96
     6219973     905.259
     6841970     910.251
     7526167     900.895
     8278784     921.013
     9106663     905.818
     10000000    924.805
   N=1, steps=222621613
     Blaze       = 1        (1.99084)
   N=2, steps=222643977
     Blaze       = 1        (1.97039)
   N=3, steps=222636404
     Blaze       = 1        (1.99285)
   N=4, steps=222600310
     Blaze       = 1        (1.98907)
   N=5, steps=199215930
     Blaze       = 1        (2.41094)
   N=6, steps=199630049
     Blaze       = 1        (1.94709)
   N=7, steps=197614359
     Blaze       = 1        (1.92925)
   N=8, steps=199641377
     Blaze       = 1        (1.94729)
   N=9, steps=185480358
     Blaze       = 1        (1.97014)
   N=10, steps=185485981
     Blaze       = 1        (1.99836)
   N=11, steps=185475836
     Blaze       = 1        (1.99841)
   N=12, steps=185597400
     Blaze       = 1        (1.99947)
   N=13, steps=183174780
     Blaze       = 1        (1.96311)
   N=14, steps=155492996
     Blaze       = 1        (1.66645)
   N=15, steps=183183840
     Blaze       = 1        (1.96326)
   N=16, steps=183155828
     Blaze       = 1        (1.96288)
   N=17, steps=164289928
     Blaze       = 1        (2.04299)
   N=18, steps=164415642
     Blaze       = 1        (2.04526)
   N=19, steps=137839549
     Blaze       = 1        (1.71423)
   N=20, steps=164293955
     Blaze       = 1        (2.0432)
   N=22, steps=159175953
     Blaze       = 1        (2.10256)
   N=24, steps=158718017
     Blaze       = 1        (2.0964)
   N=26, steps=141083424
     Blaze       = 1        (1.97527)
   N=28, steps=143161935
     Blaze       = 1        (2.00424)
   N=30, steps=145516241
     Blaze       = 1        (2.12226)
   N=33, steps=126104227
