
 Dense Vector/Dense Vector Addition:
   Blaze [MFlop/s]:
     1           111.735
     2           220.446
     3           335.25
     4           445.434
     5           507.704
     6           610.113
     7           711.138
     8           813.812
     9           737.11
     10          917.59
     11          1009.29
     12          1109.91
     13          1149.79
     14          1279.03
     15          1132.45
     16          1461.3
     17          1337.44
     18          1466.9
     19          1550.03
     20          1630.76
     22          1656.66
     24          1859.93
     26          1820.9
     28          1877.82
     30          1999.38
     33          2078.84
     36          2270.35
     39          2385.14
     42          2205.7
     46          2466.4
     50          2588.98
     55          2659.14
     60          2813.84
     66          2774.29
     72          2935.11
     79          3056.07
     86          3273.93
     94          3307.98
     103         3498.22
     113         3378.39
     124         3798.42
     136         3791.6
     149         3736.98
     163         4060.32
     179         4036.42
     196         4136.93
     215         4199.15
     236         4321.1
     259         3227.58
     284         4376.05
     312         4166.13
     343         4397.61
     377         4514.74
     414         4534.22
     455         4650.7
     500         4582.78
     550         4321.97
     605         4498.7
     665         4772.31
     731         4919.49
     804         4447.39
     884         4868.87
     972         4895.56
     1069        4706.82
     1175        4940.71
     1292        4279.65
     1421        2414.65
     1563        2047.54
     1719        1721.49
     1890        1711.63
     2079        1688.85
     2286        1669.5
     2514        1690.88
     2765        1635.89
     3041        1640.25
     3345        1698.6
     3679        1704.85
     4046        1741.6
     4450        1754.33
     4895        1729.41
     5384        1649.7
     5922        1741.42
     6514        1723.07
     7165        1464.99
     7881        1736.19
     8669        1621.1
     9535        1668.03
     10488       1527.9
     11536       1536.38
     12689       1520.93
     13957       1466.82
     15352       1242.21
     16887       1131.89
     18575       1088.68
     20432       1082.37
     22475       1082.27
     24722       1081.61
     27194       1078.99
     29913       1082.18
     32904       1082.73
     36194       1062.74
     39813       158.51
     43794       174.975
     48173       192.995
     52990       212.133
     58289       234.448
     64117       259.716
     70528       285.396
     77580       315.028
     85338       349.756
     93871       386.681
     103258      429.215
     113583      471.479
     124941      522.782
     137435      573.003
     151178      627.542
     166295      688.278
     182924      752.08
     201216      819.227
     221337      896.741
     243470      966.64
     267817      1051.11
     294598      1131.71
     324057      1220.13
     356462      1309.31
     392108      1414.67
     431318      1517.53
     474449      1636.29
     521893      1751.83
     574082      1915.65
     631490      2055.48
     694639      2196.38
     764102      2283.31
     840512      2343.36
     924563      2347.14
     1017019     2322.52
     1118720     2103.31
     1230592     2108.83
     1353651     1896.7
     1489016     1747.94
     1637917     1497.76
     1801708     1242.44
     1981878     1282.36
     2180065     1203.56
     2398071     1144.8
     2637878     1089.7
     2901665     1152.72
     3191831     1031.71
     3511014     935.999
     3862115     960.172
     4248326     956.938
     4673158     973.85
     5140474     980.074
     5654521     957.327
     6219973     994.742
     6841970     988.622
     7526167     995.989
     8278784     996.906
     9106663     1013.76
     10000000    1004.83
   N=1, steps=222389965
     Blaze       = 1        (1.99034)
   N=2, steps=222437944
     Blaze       = 1        (2.01807)
   N=3, steps=222466073
     Blaze       = 1        (1.99075)
   N=4, steps=222560532
     Blaze       = 1        (1.99859)
   N=5, steps=199551219
     Blaze       = 1        (1.96523)
   N=6, steps=199524484
     Blaze       = 1        (1.96217)
   N=7, steps=199695482
     Blaze       = 1        (1.96568)
   N=8, steps=199463404
     Blaze       = 1        (1.96078)
   N=9, steps=152274406
     Blaze       = 1        (1.85925)
   N=10, steps=185576354
     Blaze       = 1        (2.02243)
   N=11, steps=185583450
     Blaze       = 1        (2.02264)
   N=12, steps=185510186
