
 Dense Matrix/Dense Vector Multiplication:
   Blaze [MFlop/s]:
     414         1136.65
     455         1115.02
     500         2264.43
     550         3119.15
     605         3144.63
     665         3320.37
     731         4111.12
     804         4584.74
     884         5526.93
     972         5810.85
     1069        4998.8
     1175        5852.68
     1292        4438.82
     1421        4891.01
     1563        3940.18
     1719        3074.62
     1890        2293.48
     2079        2252.66
     2286        2232.68
     2514        2010.16
     2765        2169.63
     3041        2046.29
     3345        2066.12
     3679        2087.14
     4046        2098.96
     4450        2118.18
     4895        2036.43
     5384        2174.21
     5922        2105.49
     6514        2096.49
     7165        1345.23
     7881        2145.62
     8669        2111.6
     9535        1649.26
     10000       2155.87

 Dense Matrix/Dense Vector Multiplication:
   Blaze [MFlop/s]:
     414         2322.93
     455         2121.23
     500         3598.51
     550         5070.49
     605         4787.61
     665         4527.19
     731         5235.48
     804         5299.39
     884         5925.85
     972         5793
     1069        5007.15
     1175        6023.83
     1292        4352.42
     1421        5731.34
     1563        4901.09
     1719        4177.76
     1890        3218.14
     2079        3420.61
     2286        3409.96
     2514        3163.28
     2765        3380.03
     3041        3310.28
     3345        3210.22
     3679        3267.69
     4046        3255.77
     4450        3275.1
     4895        3135.99
     5384        3278.86
     5922        3254.79
     6514        3224.77
     7165        3118.05
     7881        3230.95
     8669        3296.38
     9535        2627.07
     10000       3328.57
