
 Dense Matrix/Dense Matrix Multiplication:
   Blaze [MFlop/s]:
     52          8809.68
Finished Initialization
/threads{locality#0/total}/idle-rate,1,0.013656,[s],134,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.013696,[s],330,[0.01%]
/threads{locality#0/total}/time/average,1,0.013712,[s],528318,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,1,0.013725,[s],14762,[ns]
/threads{locality#0/total}/time/cumulative-overhead,1,0.013739,[s],183479,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,1,0.013754,[s],807,[ns]
/threads{locality#0/total}/count/cumulative,1,0.013768,[s],29
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,1,0.013784,[s],1
/threads{locality#0/total}/time/average-overhead,1,0.013798,[s],6025,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,1,0.013811,[s],-55,[ns]
First Done
/threads{locality#0/total}/idle-rate,2,0.014369,[s],484,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,2,0.014386,[s],487,[0.01%]
/threads{locality#0/total}/time/average,2,0.014415,[s],35475,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,2,0.014429,[s],35079,[ns]
/threads{locality#0/total}/time/cumulative-overhead,2,0.014442,[s],32688,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,2,0.014456,[s],33482,[ns]
/threads{locality#0/total}/count/cumulative,2,0.014469,[s],18
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,2,0.014483,[s],19
/threads{locality#0/total}/time/average-overhead,2,0.014497,[s],1805,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,2,0.014513,[s],1751,[ns]
Finished Initialization
/threads{locality#0/total}/idle-rate,3,0.014732,[s],407,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,3,0.014750,[s],541,[0.01%]
/threads{locality#0/total}/time/average,3,0.014764,[s],35425,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,3,0.014777,[s],12399,[ns]
/threads{locality#0/total}/time/cumulative-overhead,3,0.014790,[s],42092,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,3,0.014803,[s],824,[ns]
/threads{locality#0/total}/count/cumulative,3,0.014816,[s],28
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,3,0.014830,[s],1
/threads{locality#0/total}/time/average-overhead,3,0.014845,[s],1498,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,3,0.014858,[s],-43,[ns]
First Done
/threads{locality#0/total}/idle-rate,4,0.015315,[s],574,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,4,0.015331,[s],570,[0.01%]
/threads{locality#0/total}/time/average,4,0.015345,[s],29611,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,4,0.015358,[s],28714,[ns]
/threads{locality#0/total}/time/cumulative-overhead,4,0.015372,[s],32102,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,4,0.015385,[s],33007,[ns]
/threads{locality#0/total}/count/cumulative,4,0.015410,[s],18
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,4,0.015427,[s],19
/threads{locality#0/total}/time/average-overhead,4,0.015440,[s],1807,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,4,0.015453,[s],1759,[ns]
Finished Initialization
/threads{locality#0/total}/idle-rate,5,0.015687,[s],446,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,5,0.015704,[s],575,[0.01%]
/threads{locality#0/total}/time/average,5,0.015718,[s],31946,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,5,0.015731,[s],12871,[ns]
/threads{locality#0/total}/time/cumulative-overhead,5,0.015745,[s],41790,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,5,0.015757,[s],790,[ns]
/threads{locality#0/total}/count/cumulative,5,0.015771,[s],28
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,5,0.015784,[s],1
/threads{locality#0/total}/time/average-overhead,5,0.015798,[s],1493,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,5,0.015814,[s],-41,[ns]
First Done
/threads{locality#0/total}/idle-rate,6,0.016270,[s],514,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,6,0.016287,[s],512,[0.01%]
/threads{locality#0/total}/time/average,6,0.016302,[s],29864,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,6,0.016319,[s],29031,[ns]
/threads{locality#0/total}/time/cumulative-overhead,6,0.016333,[s],28965,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,6,0.016346,[s],29838,[ns]
/threads{locality#0/total}/count/cumulative,6,0.016359,[s],18
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,6,0.016372,[s],19
/threads{locality#0/total}/time/average-overhead,6,0.016386,[s],1607,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,6,0.016463,[s],1562,[ns]
Finished Initialization
/threads{locality#0/total}/idle-rate,7,0.016697,[s],1003,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,7,0.016715,[s],496,[0.01%]
/threads{locality#0/total}/time/average,7,0.016729,[s],31917,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,7,0.016744,[s],12660,[ns]
/threads{locality#0/total}/time/cumulative-overhead,7,0.016758,[s],99030,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,7,0.016772,[s],773,[ns]
/threads{locality#0/total}/count/cumulative,7,0.016788,[s],28
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,7,0.016801,[s],1
/threads{locality#0/total}/time/average-overhead,7,0.016814,[s],3530,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,7,0.016828,[s],-30,[ns]
First Done
/threads{locality#0/total}/idle-rate,8,0.017278,[s],596,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,8,0.017295,[s],590,[0.01%]
/threads{locality#0/total}/time/average,8,0.017308,[s],29460,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,8,0.017321,[s],28565,[ns]
/threads{locality#0/total}/time/cumulative-overhead,8,0.017335,[s],33342,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,8,0.017348,[s],34184,[ns]
/threads{locality#0/total}/count/cumulative,8,0.017361,[s],18
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,8,0.017374,[s],19
/threads{locality#0/total}/time/average-overhead,8,0.017388,[s],1854,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,8,0.017416,[s],1804,[ns]
Finished Initialization
/threads{locality#0/total}/idle-rate,9,0.017654,[s],456,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,9,0.017672,[s],528,[0.01%]
/threads{locality#0/total}/time/average,9,0.017686,[s],32012,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,9,0.017702,[s],12763,[ns]
/threads{locality#0/total}/time/cumulative-overhead,9,0.017715,[s],42905,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,9,0.017728,[s],824,[ns]
/threads{locality#0/total}/count/cumulative,9,0.017742,[s],28
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,9,0.017755,[s],1
/threads{locality#0/total}/time/average-overhead,9,0.017768,[s],1533,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,9,0.017781,[s],-26,[ns]
First Done
/threads{locality#0/total}/idle-rate,10,0.018230,[s],531,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,10,0.018304,[s],1366,[0.01%]
/threads{locality#0/total}/time/average,10,0.018318,[s],29503,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,10,0.018331,[s],28612,[ns]
/threads{locality#0/total}/time/cumulative-overhead,10,0.018344,[s],85001,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,10,0.018357,[s],85834,[ns]
/threads{locality#0/total}/count/cumulative,10,0.018371,[s],18
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,10,0.018383,[s],19
/threads{locality#0/total}/time/average-overhead,10,0.018409,[s],4727,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,10,0.018424,[s],4531,[ns]
Finished Initialization
/threads{locality#0/total}/idle-rate,11,0.018667,[s],941,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,11,0.018673,[s],1617,[0.01%]
/threads{locality#0/total}/time/average,11,0.018676,[s],31717,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,11,0.018678,[s],1976,[ns]
/threads{locality#0/total}/time/cumulative-overhead,11,0.018681,[s],94097,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,11,0.018683,[s],685,[ns]
/threads{locality#0/total}/count/cumulative,11,0.018686,[s],28
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,11,0.018688,[s],1
/threads{locality#0/total}/time/average-overhead,11,0.018691,[s],3351,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,11,0.018693,[s],-19,[ns]
First Done
/threads{locality#0/total}/idle-rate,12,0.019114,[s],633,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,12,0.019120,[s],643,[0.01%]
/threads{locality#0/total}/time/average,12,0.019123,[s],23022,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,12,0.019126,[s],21909,[ns]
/threads{locality#0/total}/time/cumulative-overhead,12,0.019128,[s],28109,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,12,0.019130,[s],28825,[ns]
/threads{locality#0/total}/count/cumulative,12,0.019133,[s],18
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,12,0.019135,[s],19
/threads{locality#0/total}/time/average-overhead,12,0.019138,[s],1559,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,12,0.019140,[s],1513,[ns]
     60          463.653
Finished Initialization
/threads{locality#0/total}/idle-rate,13,0.019841,[s],306,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,13,0.019848,[s],1490,[0.01%]
/threads{locality#0/total}/time/average,13,0.019850,[s],40368,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,13,0.019853,[s],1939,[ns]
/threads{locality#0/total}/time/cumulative-overhead,13,0.019855,[s],36249,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,13,0.019858,[s],676,[ns]
/threads{locality#0/total}/count/cumulative,13,0.019860,[s],28
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,13,0.019863,[s],1
/threads{locality#0/total}/time/average-overhead,13,0.019865,[s],1291,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,13,0.019868,[s],-17,[ns]
First Done
/threads{locality#0/total}/idle-rate,14,0.020322,[s],618,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,14,0.020328,[s],629,[0.01%]
/threads{locality#0/total}/time/average,14,0.020331,[s],24787,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,14,0.020333,[s],23585,[ns]
/threads{locality#0/total}/time/cumulative-overhead,14,0.020336,[s],29428,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,14,0.020338,[s],30105,[ns]
/threads{locality#0/total}/count/cumulative,14,0.020340,[s],18
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,14,0.020343,[s],19
/threads{locality#0/total}/time/average-overhead,14,0.020345,[s],1635,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,14,0.020348,[s],1584,[ns]
Finished Initialization
/threads{locality#0/total}/idle-rate,15,0.020562,[s],520,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,15,0.020568,[s],1733,[0.01%]
/threads{locality#0/total}/time/average,15,0.020571,[s],24196,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,15,0.020574,[s],1965,[ns]
/threads{locality#0/total}/time/cumulative-overhead,15,0.020576,[s],37566,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,15,0.020579,[s],685,[ns]
/threads{locality#0/total}/count/cumulative,15,0.020581,[s],28
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,15,0.020583,[s],1
/threads{locality#0/total}/time/average-overhead,15,0.020586,[s],1343,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,15,0.020588,[s],-16,[ns]
First Done
/threads{locality#0/total}/idle-rate,16,0.021046,[s],603,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,16,0.021052,[s],613,[0.01%]
/threads{locality#0/total}/time/average,16,0.021055,[s],24985,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,16,0.021057,[s],23771,[ns]
/threads{locality#0/total}/time/cumulative-overhead,16,0.021060,[s],28857,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,16,0.021062,[s],29551,[ns]
/threads{locality#0/total}/count/cumulative,16,0.021064,[s],18
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,16,0.021067,[s],19
/threads{locality#0/total}/time/average-overhead,16,0.021069,[s],1603,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,16,0.021072,[s],1555,[ns]
Finished Initialization
/threads{locality#0/total}/idle-rate,17,0.021268,[s],523,[0.01%]
