
 Dense Matrix/Transpose Dense Matrix Multiplication:
   Blaze [MFlop/s]:
Finished Initialization
/threads{locality#0/total}/idle-rate,1,0.904897,[s],9964,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.904804,[s],89,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.904847,[s],7986,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.904886,[s],7516,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.904501,[s],8178,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.904486,[s],6559,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.904511,[s],8461,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.904535,[s],10000,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.904911,[s],10000,[0.01%]
/threads{locality#0/total}/time/average,1,0.904809,[s],209515,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,1,0.904874,[s],8.90403e+07,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average,1,0.904889,[s],1627,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/average,1,0.904504,[s],-9.22337e+18,[ns]
/threads{locality#0/pool#default/worker-thread#3}/time/average,1,0.904494,[s],118941,[ns]
/threads{locality#0/pool#default/worker-thread#4}/time/average,1,0.904516,[s],1863,[ns]
/threads{locality#0/pool#default/worker-thread#5}/time/average,1,0.904538,[s],-9.22337e+18,[ns]
/threads{locality#0/pool#default/worker-thread#6}/time/average,1,0.904914,[s],-9.22337e+18,[ns]
/threads{locality#0/pool#default/worker-thread#7}/time/average,1,0.904811,[s],-9.22337e+18,[ns]
/threads{locality#0/total}/time/cumulative-overhead,1,0.904877,[s],1.82851e+09,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,1,0.904891,[s],2084,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/cumulative-overhead,1,0.904506,[s],1579,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/cumulative-overhead,1,0.904497,[s],7.39199e+06,[ns]
/threads{locality#0/pool#default/worker-thread#3}/time/cumulative-overhead,1,0.904518,[s],0,[ns]
/threads{locality#0/pool#default/worker-thread#4}/time/cumulative-overhead,1,0.904541,[s],8150,[ns]
/threads{locality#0/pool#default/worker-thread#5}/time/cumulative-overhead,1,0.904917,[s],0,[ns]
/threads{locality#0/pool#default/worker-thread#6}/time/cumulative-overhead,1,0.904884,[s],0,[ns]
/threads{locality#0/pool#default/worker-thread#7}/time/cumulative-overhead,1,0.904880,[s],0,[ns]
/threads{locality#0/total}/count/cumulative,1,0.904895,[s],87
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,1,0.904509,[s],13
/threads{locality#0/pool#default/worker-thread#1}/count/cumulative,1,0.904514,[s],13
/threads{locality#0/pool#default/worker-thread#2}/count/cumulative,1,0.904521,[s],0
/threads{locality#0/pool#default/worker-thread#3}/count/cumulative,1,0.904544,[s],0
/threads{locality#0/pool#default/worker-thread#4}/count/cumulative,1,0.904548,[s],7
/threads{locality#0/pool#default/worker-thread#5}/count/cumulative,1,0.904920,[s],0
/threads{locality#0/pool#default/worker-thread#6}/count/cumulative,1,0.904923,[s],0
/threads{locality#0/pool#default/worker-thread#7}/count/cumulative,1,0.904926,[s],0
/threads{locality#0/total}/time/average-overhead,1,0.904929,[s],1.4232e+07,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,1,0.904552,[s],0,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average-overhead,1,0.904675,[s],-110,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/average-overhead,1,0.904936,[s],0,[ns]
/threads{locality#0/pool#default/worker-thread#3}/time/average-overhead,1,0.904560,[s],0,[ns]
/threads{locality#0/pool#default/worker-thread#4}/time/average-overhead,1,0.904688,[s],-1219,[ns]
/threads{locality#0/pool#default/worker-thread#5}/time/average-overhead,1,0.904886,[s],0,[ns]
/threads{locality#0/pool#default/worker-thread#6}/time/average-overhead,1,0.904699,[s],0,[ns]
/threads{locality#0/pool#default/worker-thread#7}/time/average-overhead,1,0.904892,[s],0,[ns]
First Done
/threads{locality#0/total}/idle-rate,2,2.472081,[s],2641,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,2,2.472389,[s],5,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,2,2.472468,[s],0,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,2,2.472287,[s],3645,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,2,2.471575,[s],3655,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,2,2.472176,[s],4,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,2,2.472112,[s],3637,[0.01%]
