
 Dense Matrix/Dense Matrix Addition:
   Blaze [MFlop/s]:
     200         624.024
     230         679.575
     264         730.528
     300         785.3
     345         823.12
     396         860.308
     455         891.446
     523         923.228
     600         944.256
     690         934.449
     793         411.629
     912         388.921
     1048        383.832
     1200        357.727
     1380        344.23
     1587        350.283
/threads{locality#0/total}/idle-rate,1,172.597469,[s],461,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,172.597484,[s],461,[0.01%]
/threads{locality#0/total}/time/average,1,172.597486,[s],29844,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,1,172.597488,[s],29844,[ns]
/threads{locality#0/total}/time/cumulative-overhead,1,172.597490,[s],7.93112e+09,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,1,172.597491,[s],7.93112e+09,[ns]
/threads{locality#0/total}/count/cumulative,1,172.597493,[s],5.48955e+06
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,1,172.597495,[s],5.48956e+06
/threads{locality#0/total}/time/average-overhead,1,172.597497,[s],1444,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,1,172.597499,[s],1444,[ns]
