
 Dense Matrix/Dense Matrix Addition:
   Blaze [MFlop/s]:
     200         960.579
     230         1142.49
     264         1338.54
     300         1538.76
     345         1731.09
     396         1946.28
     455         2135.34
     523         2294.48
     600         2434.55
     690         2550.52
     793         2522.34
     912         2050.75
     1048        1306.6
     1200        955.973
     1380        855.245
     1587        978.424
/threads{locality#0/total}/idle-rate,1,170.061581,[s],2110,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,170.061184,[s],2140,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,170.061501,[s],2006,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,170.061605,[s],2139,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,170.061619,[s],2157,[0.01%]
/threads{locality#0/total}/time/average,1,170.061522,[s],17796,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,1,170.061207,[s],17643,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average,1,170.061607,[s],18317,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/average,1,170.061609,[s],17674,[ns]
/threads{locality#0/pool#default/worker-thread#3}/time/average,1,170.061524,[s],17559,[ns]
/threads{locality#0/total}/time/cumulative-overhead,1,170.061211,[s],1.42263e+11,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,1,170.061533,[s],3.60589e+10,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/cumulative-overhead,1,170.061537,[s],3.38025e+10,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/cumulative-overhead,1,170.061540,[s],3.60423e+10,[ns]
/threads{locality#0/pool#default/worker-thread#3}/time/cumulative-overhead,1,170.061228,[s],3.63593e+10,[ns]
/threads{locality#0/total}/count/cumulative,1,170.061231,[s],2.98776e+07
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,1,170.061630,[s],7.50607e+06
/threads{locality#0/pool#default/worker-thread#1}/count/cumulative,1,170.061235,[s],7.35299e+06
/threads{locality#0/pool#default/worker-thread#2}/count/cumulative,1,170.061552,[s],7.49373e+06
/threads{locality#0/pool#default/worker-thread#3}/count/cumulative,1,170.061638,[s],7.52478e+06
/threads{locality#0/total}/time/average-overhead,1,170.061558,[s],4761,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,1,170.061643,[s],4803,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average-overhead,1,170.061248,[s],4597,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/average-overhead,1,170.061648,[s],4809,[ns]
/threads{locality#0/pool#default/worker-thread#3}/time/average-overhead,1,170.061583,[s],4831,[ns]
