
 Dense Matrix/Dense Matrix Addition:
   Blaze [MFlop/s]:
     200         396.409
     230         432.132
     264         473.93
     300         506.754
     345         538.647
     396         587.886
     455         624.964
     523         668.898
     600         690.143
     690         716.808
     793         719.679
     912         628.824
     1048        458.533
     1200        409.786
     1380        397.451
     1587        406.154
/threads{locality#0/total}/idle-rate,1,169.336012,[s],1932,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,169.336030,[s],1932,[0.01%]
/threads{locality#0/total}/time/average,1,169.336033,[s],5436,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,1,169.336035,[s],5436,[ns]
/threads{locality#0/total}/time/cumulative-overhead,1,169.336037,[s],3.65794e+10,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,1,169.336040,[s],3.65794e+10,[ns]
/threads{locality#0/total}/count/cumulative,1,169.336042,[s],2.80918e+07
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,1,169.336043,[s],2.80919e+07
/threads{locality#0/total}/time/average-overhead,1,169.336046,[s],1302,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,1,169.336047,[s],1302,[ns]
