
 Dense Matrix/Dense Matrix/Dense Matrix Addition:
   Blaze [MFlop/s]:
Initialization
/threads{locality#0/total}/idle-rate,1,0.120810,[s],6399,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.120838,[s],10000,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.121270,[s],18,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.121066,[s],9995,[0.01%]
/threads{locality#0/total}/time/average,1,0.120842,[s],2.13304e+06,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,1,0.121279,[s],9490,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average,1,0.121072,[s],6148,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/average,1,0.120846,[s],3577,[ns]
/threads{locality#0/total}/time/cumulative-overhead,1,0.121079,[s],2.16805e+08,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,1,0.121075,[s],2.01803e+07,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/cumulative-overhead,1,0.121087,[s],832,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/cumulative-overhead,1,0.121097,[s],0,[ns]
/threads{locality#0/total}/count/cumulative,1,0.121101,[s],67
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,1,0.121105,[s],0
/threads{locality#0/pool#default/worker-thread#1}/count/cumulative,1,0.121109,[s],2
/threads{locality#0/pool#default/worker-thread#2}/count/cumulative,1,0.121315,[s],0
/threads{locality#0/total}/time/average-overhead,1,0.121319,[s],3.33858e+06,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,1,0.121322,[s],-4,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average-overhead,1,0.121124,[s],0,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/average-overhead,1,0.121129,[s],0,[ns]
/papi{locality#0/worker-thread#0}/PAPI_L2_TCA,1,0.121383,[s],11573
/papi{locality#0/worker-thread#1}/PAPI_L2_TCA,1,0.121160,[s],43758
/papi{locality#0/worker-thread#2}/PAPI_L2_TCA,1,0.121208,[s],12243
/papi{locality#0/worker-thread#0}/PAPI_L2_TCM,1,0.121395,[s],6049
/papi{locality#0/worker-thread#1}/PAPI_L2_TCM,1,0.121187,[s],11847
/papi{locality#0/worker-thread#2}/PAPI_L2_TCM,1,0.120996,[s],6379
Done
/threads{locality#0/total}/idle-rate,2,0.127508,[s],8476,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,2,0.127326,[s],9422,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,2,0.127132,[s],912,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,2,0.127580,[s],697,[0.01%]
/threads{locality#0/total}/time/average,2,0.127362,[s],136117,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,2,0.127168,[s],141970,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average,2,0.127597,[s],113412,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/average,2,0.127476,[s],143594,[ns]
/threads{locality#0/total}/time/cumulative-overhead,2,0.127190,[s],1.43306e+06,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,2,0.127636,[s],430078,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/cumulative-overhead,2,0.127507,[s],566551,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/cumulative-overhead,2,0.127228,[s],440027,[ns]
/threads{locality#0/total}/count/cumulative,2,0.127660,[s],124
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,2,0.127316,[s],45
/threads{locality#0/pool#default/worker-thread#1}/count/cumulative,2,0.127255,[s],44
/threads{locality#0/pool#default/worker-thread#2}/count/cumulative,2,0.127677,[s],40
/threads{locality#0/total}/time/average-overhead,2,0.127542,[s],10771,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,2,0.127277,[s],9474,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average-overhead,2,0.127721,[s],12458,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/average-overhead,2,0.127746,[s],10538,[ns]
/papi{locality#0/worker-thread#0}/PAPI_L2_TCA,2,0.127376,[s],181381
/papi{locality#0/worker-thread#1}/PAPI_L2_TCA,2,0.127826,[s],170696
/papi{locality#0/worker-thread#2}/PAPI_L2_TCA,2,0.127690,[s],164213
/papi{locality#0/worker-thread#0}/PAPI_L2_TCM,2,0.127443,[s],109916
/papi{locality#0/worker-thread#1}/PAPI_L2_TCM,2,0.127909,[s],111192
/papi{locality#0/worker-thread#2}/PAPI_L2_TCM,2,0.127722,[s],109478
Initialization
/threads{locality#0/total}/idle-rate,3,0.127769,[s],8391,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,3,0.128031,[s],10000,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,3,0.127815,[s],8277,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,3,0.128293,[s],7502,[0.01%]
/threads{locality#0/total}/time/average,3,0.128065,[s],121919,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,3,0.127839,[s],-9.22337e+18,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average,3,0.128311,[s],30861,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/average,3,0.128097,[s],46901,[ns]
/threads{locality#0/total}/time/cumulative-overhead,3,0.127865,[s],2.054e+06,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,3,0.128342,[s],2030,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/cumulative-overhead,3,0.128111,[s],737,[ns]
/threads{locality#0/pool#default/worker-thread#2}/time/cumulative-overhead,3,0.127889,[s],1141,[ns]
/threads{locality#0/total}/count/cumulative,3,0.128159,[s],153
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,3,0.128184,[s],1
/threads{locality#0/pool#default/worker-thread#1}/count/cumulative,3,0.128001,[s],2
/threads{locality#0/pool#default/worker-thread#2}/count/cumulative,3,0.128364,[s],0
/threads{locality#0/total}/time/average-overhead,3,0.128230,[s],11612,[ns]
