
 Dense Matrix/Dense Matrix Addition:
   Blaze [MFlop/s]:
Initialization
/threads{locality#0/total}/idle-rate,1,0.196140,[s],4863,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.196224,[s],0,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.196177,[s],9997,[0.01%]
/threads{locality#0/total}/time/average,1,0.196230,[s],1.23166e+06,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,1,0.196183,[s],5.91038e+06,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average,1,0.196188,[s],4544,[ns]
/threads{locality#0/total}/time/cumulative-overhead,1,0.196199,[s],1.93224e+08,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,1,0.196207,[s],0,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/cumulative-overhead,1,0.196215,[s],10073,[ns]
/threads{locality#0/total}/count/cumulative,1,0.196224,[s],50
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,1,0.196231,[s],0
/threads{locality#0/pool#default/worker-thread#1}/count/cumulative,1,0.196240,[s],2
/threads{locality#0/total}/time/average-overhead,1,0.196248,[s],3.64622e+06,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,1,0.196256,[s],0,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average-overhead,1,0.196265,[s],-141,[ns]
/papi{locality#0/worker-thread#0}/PAPI_L2_TCA,1,0.196319,[s],6.06042e+07
/papi{locality#0/worker-thread#1}/PAPI_L2_TCA,1,0.196335,[s],1.43935e+08
/papi{locality#0/worker-thread#0}/PAPI_L2_TCM,1,0.196402,[s],16322
/papi{locality#0/worker-thread#1}/PAPI_L2_TCM,1,0.196347,[s],3972
Done
/threads{locality#0/total}/idle-rate,2,0.204283,[s],349,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,2,0.204472,[s],619,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,2,0.204309,[s],137,[0.01%]
/threads{locality#0/total}/time/average,2,0.204505,[s],512858,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,2,0.204327,[s],1.25118e+06,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average,2,0.204536,[s],403983,[ns]
/threads{locality#0/total}/time/cumulative-overhead,2,0.204347,[s],574219,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,2,0.204590,[s],505380,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/cumulative-overhead,2,0.204364,[s],80319,[ns]
/threads{locality#0/total}/count/cumulative,2,0.204653,[s],27
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,2,0.204380,[s],8
/threads{locality#0/pool#default/worker-thread#1}/count/cumulative,2,0.204645,[s],14
/threads{locality#0/total}/time/average-overhead,2,0.204396,[s],34732,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,2,0.204688,[s],36228,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average-overhead,2,0.204440,[s],132212,[ns]
/papi{locality#0/worker-thread#0}/PAPI_L2_TCA,2,0.204752,[s],2.6629e+06
/papi{locality#0/worker-thread#1}/PAPI_L2_TCA,2,0.204546,[s],3.14876e+06
/papi{locality#0/worker-thread#0}/PAPI_L2_TCM,2,0.204695,[s],209416
