
 Dense Matrix/Dense Matrix Multiplication:
/threads{locality#0/total}/idle-rate,1,13.249509,[s],0,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,13.249523,[s],0,[0.01%]
/threads{locality#0/total}/time/average,1,13.249527,[s],2.80558e+08,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,1,13.249528,[s],2.74713e+08,[ns]
/threads{locality#0/total}/time/cumulative-overhead,1,13.249532,[s],498219,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,1,13.249533,[s],498535,[ns]
/threads{locality#0/total}/count/cumulative,1,13.249537,[s],51
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,1,13.249538,[s],52
/threads{locality#0/total}/time/average-overhead,1,13.249540,[s],9425,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,1,13.249541,[s],9255,[ns]
