
 Dense Vector/Dense Vector Addition:
   Blaze [MFlop/s]:
     1           111.58
     2           223.401
     3           335.071
     4           421.32
     5           511.509
     6           614.755
     7           716.051
     8           819.783
     9           849.343
     10          943.878
     11          1012.07
     12          984.67
     13          1216.46
     14          1304.51
     15          1403.66
     16          1490.89
     17          1400.13
     18          1240.57
     19          1564.72
     20          1647.23
     22          1745.17
     24          1892.67
     26          1636.05
     28          2010.51
     30          2139.33
     33          2118.23
     36          2026.1
     39          2531.8
     42          2399.23
     46          2689.52
     50          2611.31
     55          2802.66
     60          2907.51
     66          3008.1
     72          3009.69
     79          3427.92
     86          3254.12
     94          3305.86
     103         3759.63
     113         3801.49
     124         3930.71
     136         3708.08
     149         3685.82
     163         4170.84
     179         4127.8
     196         4196.12
     215         4257.64
     236         4333.72
     259         3248.16
     284         4570.5
     312         4496.82
     343         4766.89
     377         4652.55
     414         4749.61
     455         4894.52
     500         4858.42
     550         4713.11
     605         4701.87
     665         4730.57
     731         4823.06
     804         4992.08
     884         5050.59
     972         5081.62
     1069        5332.64
     1175        5249.98
     1292        3988.81
     1421        2644.77
     1563        2065.65
     1719        1737.43
     1890        1737.99
     2079        1741.09
     2286        1691.41
     2514        1734.37
     2765        1721.49
     3041        1707.11
     3345        1741.54
     3679        1738.17
     4046        1732.28
     4450        1736.19
     4895        1742.51
     5384        1685.33
     5922        1757.19
     6514        1751.83
     7165        1470.76
     7881        1750.24
     8669        1698.13
     9535        1708.54
     10488       1510.08
     11536       1545.07
     12689       1530.73
     13957       1448.57
     15352       1215.53
     16887       1123.41
     18575       1126.31
     20432       1111.18
     22475       1087.81
     24722       1086.01
     27194       1081.78
     29913       1085.48
     32904       1085.54
     36194       1085.93
     39813       3055.04
     43794       2873.4
     48173       2878.41
     52990       2959.38
     58289       2990.54
     64117       3123.53
     70528       3096.45
     77580       3120.38
     85338       3181.23
     93871       3223.11
     103258      3230.65
     113583      3345.64
     124941      3324.81
     137435      3494.67
     151178      3563.16
     166295      3559.49
     182924      3652.78
     201216      3452.18
     221337      3525.64
     243470      3474.18
     267817      3451
     294598      3536.99
