
 Dense Vector/Dense Vector Addition:
   Blaze [MFlop/s]:
     1           111.712
     2           223.147
     3           335.09
     4           446.848
     5           514.208
     6           613.694
     7           547.612
     8           818.108
     9           846.738
     10          940.816
     11          1034.96
     12          1129.22
     13          1211.12
     14          1304.49
     15          1397.38
     16          1490.72
     17          1401.63
     18          1484.23
     19          1566.45
     20          1648.89
     22          1735
     24          1891.24
     26          1879.32
     28          2021.67
     30          2134.06
     33          2126.03
     36          2322.9
     39          2532.42
     42          2424.19
     46          2677.84
     50          2621.23
     55          2890.95
     60          2878.13
     66          3015.13
     72          3193.54
     79          3436.44
     86          3457.82
     94          3576.21
     103         3474.52
     113         3671.01
     124         3668.97
     136         4079.7
     149         3991.68
     163         3976.23
     179         3964.52
     196         4131.72
     215         4170.61
     236         4228.37
     259         3390.98
     284         4517.19
     312         4236.31
     343         4595.37
     377         4526.29
     414         4612.26
     455         4798.76
     500         5226.59
     550         4515.78
     605         4656.34
     665         5000.16
     731         5071.1
     804         5165.36
     884         5216.01
     972         5227.92
     1069        4948.54
     1175        4981.59
     1292        4393.86
     1421        2527.85
     1563        2045.09
     1719        1730.84
     1890        1731.27
     2079        1727.52
     2286        1692.85
     2514        1717.3
     2765        1719.09
     3041        1720.47
     3345        1738.24
     3679        1741.8
     4046        1742.49
     4450        1748.02
     4895        1706.08
     5384        1673.09
     5922        1673.28
     6514        1670.97
     7165        1432.63
     7881        1652.49
     8669        1615.39
     9535        1644.03
     10488       1483.76
     11536       1597.02
     12689       1549.13
     13957       1485.69
     15352       1215.01
     16887       1137.66
     18575       1087.54
     20432       1081.18
     22475       1073.44
     24722       1072.39
     27194       1068.48
     29913       1071.75
     32904       1072.38
     36194       1071.75
     39813       2504
     43794       2569.52
     48173       2538.69
     52990       2573.79
     58289       2532.5
     64117       2572.04
     70528       2525.72
     77580       2594.58
     85338       2611.18
     93871       2636.09
     103258      2592.78
     113583      2575.85
     124941      2613.61
     137435      2742.53
     151178      2728.24
     166295      2664.33
     182924      2718.99
     201216      2617.61
     221337      2729.72
     243470      2767.81
     267817      2774.25
     294598      2909.79
     324057      2755.52
     356462      2863.05
     392108      2767.27
     431318      2828.89
     474449      2979.12
     521893      2928.14
     574082      1251.44
     631490      1225.83
     694639      1135.26
     764102      1136
     840512      1136.18
     924563      1299.72
     1017019     1320.57
     1118720     1133.87
     1230592     1088.84
     1353651     1140.54
     1489016     1024.56
     1637917     965.912
     1801708     975.049
     1981878     896.759
     2180065     975.164
     2398071     1037.24
     2637878     1012.57
     2901665     922.637
     3191831     841.569
     3511014     843.372
     3862115     879.036
     4248326     1086.66
     4673158     1085.06
     5140474     1074.6
     5654521     1073.51
     6219973     947.231
     6841970     1093.27
     7526167     1089.9
     8278784     1087.19
     9106663     1096.09
     10000000    1103.1
   N=1, steps=222080098
     Blaze       = 1        (1.98796)
   N=2, steps=222088334
     Blaze       = 1        (1.99051)
   N=3, steps=222308994
     Blaze       = 1        (1.99029)
   N=4, steps=222286873
     Blaze       = 1        (1.98982)
   N=5, steps=199547116
     Blaze       = 1        (1.94034)
   N=6, steps=199583904
     Blaze       = 1        (1.9513)
   N=7, steps=198955990
     Blaze       = 1        (2.54321)
   N=8, steps=199514443
     Blaze       = 1        (1.95098)
   N=9, steps=186022289
     Blaze       = 1        (1.97724)
   N=10, steps=185944010
     Blaze       = 1        (1.97641)
   N=11, steps=186041469
     Blaze       = 1        (1.97732)
   N=12, steps=181532344
     Blaze       = 1        (1.92911)
   N=13, steps=184629688
     Blaze       = 1        (1.98179)
   N=14, steps=148400754
     Blaze       = 1        (1.59266)
   N=15, steps=184636834
     Blaze       = 1        (1.98197)
   N=16, steps=184588038
     Blaze       = 1        (1.98119)
   N=17, steps=163221588
     Blaze       = 1        (1.97967)
   N=18, steps=157537791
     Blaze       = 1        (1.91054)
   N=19, steps=142189527
     Blaze       = 1        (1.72466)
   N=20, steps=163150065
     Blaze       = 1        (1.9789)
   N=22, steps=158681332
     Blaze       = 1        (2.0121)
   N=24, steps=158393091
     Blaze       = 1        (2.01002)
   N=26, steps=139642689
     Blaze       = 1        (1.93193)
   N=28, steps=140218539
     Blaze       = 1        (1.94202)
   N=30, steps=145971288
     Blaze       = 1        (2.05203)
   N=33, steps=129239442
     Blaze       = 1        (2.00604)
   N=36, steps=124305539
     Blaze       = 1        (1.92647)
   N=39, steps=118806618
     Blaze       = 1        (1.82965)
   N=42, steps=112898791
     Blaze       = 1        (1.95601)
   N=46, steps=116695235
     Blaze       = 1        (2.00459)
   N=50, steps=95655520
     Blaze       = 1        (1.82463)
   N=55, steps=103041807
     Blaze       = 1        (1.96036)
   N=60, steps=96005861
     Blaze       = 1        (2.00142)
   N=66, steps=87105499
     Blaze       = 1        (1.9067)
   N=72, steps=89412883
     Blaze       = 1        (2.01586)
   N=79, steps=80875061
     Blaze       = 1        (1.85923)
   N=86, steps=70758268
     Blaze       = 1        (1.75984)
   N=94, steps=73113194
     Blaze       = 1        (1.92177)
   N=103, steps=69907425
     Blaze       = 1        (2.07236)
   N=113, steps=63897406
     Blaze       = 1        (1.96687)
   N=124, steps=57860468
     Blaze       = 1        (1.95551)
   N=136, steps=56198289
     Blaze       = 1        (1.87341)
   N=149, steps=52364164
     Blaze       = 1        (1.95463)
   N=163, steps=47511649
     Blaze       = 1        (1.94768)
   N=179, steps=48394929
     Blaze       = 1        (2.18506)
   N=196, steps=43130762
     Blaze       = 1        (2.04603)
   N=215, steps=37963694
     Blaze       = 1        (1.95707)
   N=236, steps=35092324
     Blaze       = 1        (1.95863)
   N=259, steps=26131756
     Blaze       = 1        (1.99592)
   N=284, steps=30694342
     Blaze       = 1        (1.92978)
