
 Daxpy product:
   Blaze [MFlop/s]:
     1           321.505
     2           642.579
     3           963.841
     4           1285.17
     5           1351.22
     6           1622.5
     7           1892.34
     8           2162.28
     9           2192.46
     10          2436.06
     11          2367.04
     12          2923.4
     13          3134.01
     14          3375.92
     15          3616.58
     16          3857.49
     17          3577.05
     18          3789.33
     19          3998.88
     20          2894.37
     22          4105.2
     24          4578.66
     26          4510.03
     28          4858.82
     30          5021.92
     33          4220.23
     36          5354
     39          5287.1
     42          5143.07
     46          5381.35
     50          5547.85
     55          5787.74
     60          6125.75
     66          6175.79
     72          6295.58
     79          6559.26
     86          6454.26
     94          7017.97
     103         7350.34
     113         7290.11
     124         7615.99
     136         7676.2
     149         7627.63
     163         7910.49
     179         8080.73
     196         7722.25
     215         8141.73
     236         8423.06
     259         8410.42
     284         8719.2
     312         8511.53
     343         8554.94
     377         8896.96
     414         8666.28
     455         8593.51
     500         9207.99
     550         8297
     605         8715.76
     665         8687.16
     731         8838
     804         9264.4
     884         9135.99
     972         9116.79
     1069        8897.03
     1175        9107.29
     1292        9230.02
     1421        9146.11
     1563        7325.54
     1719        9284.94
     1890        9628.56
     2079        6196.09
     2286        4105.31
     2514        4079.97
     2765        4047.31
     3041        4039.39
     3345        4075.23
     3679        4054.24
     4046        4100.99
     4450        4044.43
     4895        4055.98
     5384        4100.79
     5922        4089.08
     6514        4092.41
     7165        3586.69
     7881        4099.94
     8669        4075.49
     9535        4052.57
     10488       4077.65
     11536       4081.19
     12689       3939.26
     13957       3923.96
     15352       3654.09
     16887       3576.62
     18575       3646.06
     20432       3516.2
     22475       3345.9
     24722       3159.86
     27194       3050.78
     29913       2941.3
     32904       2889.61
     36194       2876.39
     39813       5596.08
     43794       5741.87
     48173       5929.34
     52990       6106.76
     58289       6219.72
     64117       6349.19
     70528       6490.32
     77580       6597.92
     85338       7042.28
     93871       7146.65
     103258      7232.72
     113583      7271.74
     124941      7289.17
     137435      7253.73
     151178      7272.35
     166295      7395.18
     182924      7458.07
     201216      7537.49
     221337      8016.18
     243470      7964.43
     267817      7859.96
     294598      8009.94
     324057      7949.76
     356462      7919.05
     392108      7844.73
     431318      7819.5
     474449      7820.02
     521893      7861.96
     574082      8445.68
     631490      8394.43
     694639      8330.4
     764102      8351.92
     840512      8236.46
     924563      8164.34
     1017019     7874.32
     1118720     7592.75
     1230592     7350.6
     1353651     6958.06
     1489016     6523.74
     1637917     5784.79
     1801708     5117.05
     1981878     4689.27
     2180065     3990.27
     2398071     4069.9
     2637878     3561.8
     2901665     4042.23
     3191831     4961.18
     3511014     4814.16
     3862115     3222.48
     4248326     2263.71
     4673158     2160.25
     5140474     2090.89
     5654521     2049.01
     6219973     2027
     6841970     2026.69
     7526167     2018.26
     8278784     2017.34
     9106663     2017.72
     10000000    2018.25
   N=1, steps=321322501
     Blaze       = 1        (1.99886)
   N=2, steps=321667674
     Blaze       = 1        (2.00235)
   N=3, steps=321544208
     Blaze       = 1        (2.00164)
   N=4, steps=321655176
     Blaze       = 1        (2.00226)
   N=5, steps=273298964
     Blaze       = 1        (2.0226)
   N=6, steps=193025222
     Blaze       = 1        (1.42761)
   N=7, steps=275675859
     Blaze       = 1        (2.03952)
   N=8, steps=275614583
     Blaze       = 1        (2.03944)
   N=9, steps=244348643
     Blaze       = 1        (2.00609)
   N=10, steps=244297745
