
 Daxpy product:
   Blaze [MFlop/s]:
     1           321.567
     2           643.071
     3           964.728
     4           1285.96
     5           1348.35
     6           949.923
     7           1886.76
     8           2157.42
     9           2188.66
     10          2431.15
     11          2674.85
     12          2918.39
     13          3112.08
     14          3350.14
     15          3580.59
     16          3830.25
     17          3566.94
     18          3774.03
     19          3980.98
     20          4188.17
     22          4192.96
     24          4572.74
     26          4511.56
     28          4857.16
     30          5031.82
     33          4915.33
     36          5360.26
     39          5302.01
     42          5135.56
     46          5377.43
     50          5513.18
     55          5784.81
     60          6108.4
     66          6174.29
     72          6524.02
     79          6555.27
     86          6326.69
     94          6633.53
     103         7266.98
     113         7222.6
     124         7507.45
     136         7678.7
     149         7400.34
     163         7342.14
     179         7926.64
     196         8053.52
     215         8272.09
     236         8277.97
     259         8262.59
     284         8454.62
     312         8709.82
     343         8592.26
     377         8584.7
     414         8907.56
     455         9045.08
     500         9422.88
     550         8779.01
     605         9187.68
     665         8627.44
     731         8738.8
     804         8868.44
     884         8948.05
     972         8825.93
     1069        9449.58
     1175        9410.93
     1292        9023.92
     1421        9401.62
     1563        7718.23
     1719        8954.49
     1890        8235.86
     2079        6389.55
     2286        4101.33
     2514        4065.05
     2765        4057.1
     3041        4014.79
     3345        4065.61
     3679        4054.51
     4046        4078.27
     4450        4048.75
     4895        4076.19
     5384        4103.87
     5922        4067.94
     6514        4061.02
     7165        3584.6
     7881        4067.73
     8669        4041.6
     9535        4063.78
     10488       4039.87
     11536       4041.36
     12689       4042.55
     13957       3934.59
     15352       3449.76
     16887       3362.5
     18575       3671.91
     20432       3541.21
     22475       3445.45
     24722       3209.14
     27194       3007.31
     29913       2873.8
     32904       2871.75
     36194       2874.24
     39813       5655.17
     43794       6128.55
     48173       6142.66
     52990       6339.73
     58289       6877.44
     64117       6439.03
     70528       6966.94
     77580       7316.77
     85338       8178.61
     93871       7467.69
     103258      7220.43
     113583      7233.99
     124941      6576.59
     137435      6520.58
     151178      6569.33
     166295      6594.98
     182924      7318.52
     201216      8159.37
     221337      10386.1
     243470      7483.28
     267817      7058.42
     294598      6873.33
     324057      7285.76
     356462      7636.12
     392108      7488.42
     431318      7434.8
     474449      7413.87
     521893      7246.96
     574082      7433.15
     631490      8087.92
     694639      8123.35
     764102      7810.07
     840512      7495.29
     924563      7463.82
     1017019     8270.11
     1118720     7014.63
     1230592     8838.84
     1353651     8527.48
     1489016     7938.74
     1637917     5211.87
     1801708     7444.8
     1981878     8221.93
     2180065     7094.42
     2398071     6751.58
     2637878     6044.56
     2901665     4392.19
     3191831     3710.22
     3511014     4058.12
     3862115     4026.08
     4248326     2618.22
     4673158     3829.77
     5140474     4091.21
     5654521     3689.43
     6219973     3809.46
     6841970     2827.43
     7526167     3644.62
     8278784     3780.03
     9106663     2208.48
     10000000    4062.28
   N=1, steps=292792276
     Blaze       = 1        (1.82103)
   N=2, steps=307350844
     Blaze       = 1        (1.91177)
   N=3, steps=307428388
     Blaze       = 1        (1.91201)
   N=4, steps=307622925
