
 Daxpy product:
   Blaze [MFlop/s]:
     1           385.107
     2           771.859
     3           1157.86
     4           1540.79
     5           1578.59
     6           1903.35
     7           2221.94
     8           2525.49
     9           2366.32
     10          2629.35
     11          2892.31
     12          3155.07
     13          1980.66
     14          3432.17
     15          3674.79
     16          3922.02
     17          3759.72
     18          3981.4
     19          2893.28
     20          4423.54
     22          4346.32
     24          4741.9
     26          4756.76
     28          5122.78
     30          5028.65
     33          4064.15
     36          5601.88
     39          5473.28
     42          5329.96
     46          5314.71
     50          5522.62
     55          5858.44
     60          6180.87
     66          6102.93
     72          6622.74
     79          6602.34
     86          6865.41
     94          6992.48
     103         6849.22
     113         7509.38
     124         7670.72
     136         7794.67
     149         7754.11
     163         8012.06
     179         8174.08
     196         8328.12
     215         7734.72
     236         8524.55
     259         8460.62
     284         8695.58
     312         8772.38
     343         8811.46
     377         8854.45
     414         8903.33
     455         9027.88
     500         8776.33
     550         8892.73
     605         8721.41
     665         9042.37
     731         9029.17
     804         9100.03
     884         9014.49
     972         9265.51
     1069        8948.45
     1175        9066.47
     1292        9454.51
     1421        9131.08
     1563        7340.36
     1719        9179.76
     1890        9202.36
     2079        6549.35
     2286        4219.25
     2514        4085.2
     2765        4058.71
     3041        4080.31
     3345        4074.59
     3679        4068.78
     4046        4117.54
     4450        4050.49
     4895        4103
     5384        4121.61
     5922        4080.63
     6514        4089.68
     7165        3608.35
     7881        4111.9
     8669        4050.38
     9535        4077.76
     10488       4111.71
     11536       4080.87
     12689       4034.76
     13957       3904.09
     15352       3273.7
     16887       3176.2
     18575       3531.44
     20432       3329.09
     22475       3169.39
     24722       3115.24
     27194       3083.24
     29913       3093.07
     32904       2987.99
     36194       2952.9
     39813       1614.96
     43794       1736.59
     48173       1831.13
     52990       1926.76
     58289       2005.78
     64117       2098.12
     70528       2243.35
     77580       2302.91
     85338       2422.61
     93871       2588
     103258      2685.93
     113583      2836.02
     124941      2904.22
     137435      2995.16
     151178      3135.98
     166295      3233.56
     182924      3270.23
     201216      3295.62
     221337      3507.21
     243470      3625.09
     267817      3680.98
     294598      3828.22
     324057      3865.31
     356462      3957.19
     392108      4021.68
     431318      4132.29
     474449      4245.7
     521893      4340.06
     574082      4367.12
     631490      4426.3
     694639      4470.29
     764102      4507.74
     840512      4447.78
     924563      4518.69
     1017019     4474.32
     1118720     4053.75
     1230592     3921.21
     1353651     3592.44
     1489016     3287.79
     1637917     2715.06
     1801708     2672.1
     1981878     2560.52
     2180065     2422.42
     2398071     2306.46
     2637878     2205.7
     2901665     2202.86
     3191831     2133.59
     3511014     2176.36
     3862115     2136.54
     4248326     2185.85
     4673158     2155.55
     5140474     2167.11
     5654521     2133.88
     6219973     2151.3
     6841970     2152.02
     7526167     2134.93
     8278784     2154.42
     9106663     2147.5
     10000000    2162.63
   N=1, steps=385901453
     Blaze       = 1        (2.00413)
   N=2, steps=386064740
     Blaze       = 1        (2.0007)
