
 Dense Vector/Dense Vector Addition:
   Blaze [MFlop/s]:
     1           99.0492
     2           198.636
     3           297.54
     4           393.474
     5           464.894
     6           557.988
     7           651.089
     8           741.39
     9           768.403
     10          851.509
     11          838.295
     12          1020.41
     13          1108.6
     14          1183.01
     15          1277.54
     16          1354.82
     17          1272.49
     18          1308.95
     19          1439.54
     20          1512.23
     22          1586.21
     24          1724.4
     26          1643.25
     28          1865.86
     30          1886.82
     33          1973.78
     36          2098.81
     39          2158.59
     42          2362.95
     46          2323.2
     50          2534.66
     55          2345.3
     60          2839.19
     66          2978.86
     72          2930.85
     79          3011.53
     86          2945.54
     94          3202.77
     103         3332.69
     113         3573.61
     124         3530.2
     136         3493.12
     149         3592.51
     163         3857.16
     179         3921.82
     196         3953.18
     215         3992.44
     236         4176.87
     259         2979.97
     284         4308.47
     312         4497.33
     343         4545.09
     377         4375.51
     414         4715.14
     455         4893.61
     500         4366.32
     550         4719.13
     605         4903.46
     665         4605.17
     731         4686.93
     804         4639.01
     884         4722.54
     972         4888.61
     1069        5207.45
     1175        5226.14
     1292        3974.13
     1421        2408.18
     1563        2034.56
     1719        1711.64
     1890        1717.2
     2079        1725.96
     2286        1697.73
     2514        1729.17
     2765        1718.41
     3041        1723.91
     3345        1724.85
     3679        1726.44
     4046        1712.12
     4450        1737.21
     4895        1729.66
     5384        1678.81
     5922        1739.71
     6514        1732.64
     7165        1447.67
     7881        1636.73
     8669        1571.1
     9535        1529.52
     10488       1393.43
     11536       1504.13
     12689       1363.13
     13957       1282.38
     15352       1160.11
     16887       1189.41
     18575       1148.79
     20432       1088.78
     22475       1077.21
     24722       1083.74
     27194       1077.49
     29913       1077.1
     32904       1080.87
     36194       1080.29
     39813       531.866
     43794       564.314
     48173       597.885
     52990       641.895
     58289       686.34
     64117       717.56
     70528       765.7
     77580       815.737
     85338       854.077
     93871       931.795
     103258      1016.9
     113583      1096.87
     124941      1185.8
     137435      1275.95
     151178      1412.6
     166295      1533.01
     182924      1658.42
     201216      1776.71
     221337      1956.89
     243470      2074.17
     267817      2236.33
     294598      2361.63
     324057      2473.88
     356462      2702.57
     392108      2833.17
     431318      2934.12
     474449      2978.27
     521893      3089.39
     574082      3214.46
     631490      3229.88
     694639      3221.8
     764102      2709.07
     840512      2368.34
     924563      2020.93
     1017019     1725.95
     1118720     1445.36
     1230592     1392.2
     1353651     1246.73
     1489016     1115.27
     1637917     1023.76
     1801708     1028.13
     1981878     979.832
     2180065     933.322
     2398071     904.453
     2637878     895.907
     2901665     875.371
     3191831     816.822
     3511014     838.851
     3862115     827.459
     4248326     756.666
     4673158     791.289
     5140474     779.525
     5654521     735.193
     6219973     731.505
     6841970     732.177
     7526167     730.183
     8278784     728.753
     9106663     727.784
     10000000    728.686
   N=1, steps=194966694
     Blaze       = 1        (1.96838)
   N=2, steps=197957777
     Blaze       = 1        (1.99317)
   N=3, steps=199075878
     Blaze       = 1        (2.00722)
   N=4, steps=195965861
     Blaze       = 1        (1.99216)
   N=5, steps=155635545
     Blaze       = 1        (1.67388)
   N=6, steps=183399158
     Blaze       = 1        (1.97208)
   N=7, steps=185582472
     Blaze       = 1        (1.99524)
   N=8, steps=185889978
     Blaze       = 1        (2.00585)
   N=9, steps=167334663
     Blaze       = 1        (1.95993)
   N=10, steps=170536116
     Blaze       = 1        (2.00275)
   N=11, steps=165644450
     Blaze       = 1        (2.17357)
   N=12, steps=155105363
     Blaze       = 1        (1.82404)
   N=13, steps=166679187
     Blaze       = 1        (1.95456)
   N=14, steps=168252893
     Blaze       = 1        (1.99113)
   N=15, steps=168955710
     Blaze       = 1        (1.98376)
   N=16, steps=164986358
     Blaze       = 1        (1.94844)
   N=17, steps=149988797
     Blaze       = 1        (2.0038)
   N=18, steps=149401585
     Blaze       = 1        (2.05449)
   N=19, steps=149951881
     Blaze       = 1        (1.97917)
   N=20, steps=150012298
     Blaze       = 1        (1.98399)
   N=22, steps=123658298
     Blaze       = 1        (1.71509)
   N=24, steps=142633082
     Blaze       = 1        (1.98515)
   N=26, steps=129517873
     Blaze       = 1        (2.04928)
   N=28, steps=131712051
     Blaze       = 1        (1.97653)
   N=30, steps=118096598
     Blaze       = 1        (1.87771)
   N=33, steps=111529832
     Blaze       = 1        (1.86468)
   N=36, steps=117360556
     Blaze       = 1        (2.01304)
   N=39, steps=112357814
     Blaze       = 1        (2.03001)
   N=42, steps=106755503
     Blaze       = 1        (1.89751)
   N=46, steps=92732052
     Blaze       = 1        (1.83612)
   N=50, steps=100444914
     Blaze       = 1        (1.98143)
   N=55, steps=89423393
     Blaze       = 1        (2.09708)
   N=60, steps=94596267
     Blaze       = 1        (1.99908)
   N=66, steps=86546969
     Blaze       = 1        (1.91754)
   N=72, steps=79899472
     Blaze       = 1        (1.96283)
   N=79, steps=72221589
     Blaze       = 1        (1.89455)
   N=86, steps=70926081
     Blaze       = 1        (2.0708)
   N=94, steps=61874980
     Blaze       = 1        (1.816)
   N=103, steps=62834846
     Blaze       = 1        (1.94197)
   N=113, steps=59798620
     Blaze       = 1        (1.89087)
   N=124, steps=56979524
     Blaze       = 1        (2.00143)
   N=136, steps=52080669
     Blaze       = 1        (2.02769)
   N=149, steps=47627221
     Blaze       = 1        (1.97535)
   N=163, steps=44834420
     Blaze       = 1        (1.89466)
   N=179, steps=42954942
     Blaze       = 1        (1.96055)
   N=196, steps=40278332
     Blaze       = 1        (1.99701)
   N=215, steps=37207767
     Blaze       = 1        (2.0037)
   N=236, steps=33536074
     Blaze       = 1        (1.89484)
   N=259, steps=31391102
     Blaze       = 1        (2.72831)
   N=284, steps=29612735
     Blaze       = 1        (1.95197)
   N=312, steps=27159018
     Blaze       = 1        (1.88414)
   N=343, steps=24739467
     Blaze       = 1        (1.86699)
   N=377, steps=22875693
     Blaze       = 1        (1.971)
   N=414, steps=20622086
     Blaze       = 1        (1.81067)
   N=455, steps=19851595
     Blaze       = 1        (1.84577)
   N=500, steps=18463613
     Blaze       = 1        (2.11432)
   N=550, steps=17118983
     Blaze       = 1        (1.99516)
   N=605, steps=15638193
     Blaze       = 1        (1.92947)
   N=665, steps=12985098
     Blaze       = 1        (1.87509)
   N=731, steps=12318974
     Blaze       = 1        (1.92134)
   N=804, steps=11274498
     Blaze       = 1        (1.95401)
   N=884, steps=10388934
     Blaze       = 1        (1.94468)
   N=972, steps=9368099
     Blaze       = 1        (1.86266)
   N=1069, steps=4366953
     Blaze       = 1        (0.896461)
   N=1175, steps=8649263
     Blaze       = 1        (1.94463)
   N=1292, steps=7516544
     Blaze       = 1        (2.44365)
   N=1421, steps=3175280
     Blaze       = 1        (1.87364)
   N=1563, steps=2615698
     Blaze       = 1        (2.00944)
   N=1719, steps=1942836
     Blaze       = 1        (1.9512)
   N=1890, steps=1773525
     Blaze       = 1        (1.95199)
   N=2079, steps=1609128
     Blaze       = 1        (1.93827)
   N=2286, steps=1481633
     Blaze       = 1        (1.99502)
   N=2514, steps=1315805
     Blaze       = 1        (1.91301)
   N=2765, steps=1234833
     Blaze       = 1        (1.9869)
   N=3041, steps=1108539
     Blaze       = 1        (1.95547)
   N=3345, steps=1047424
     Blaze       = 1        (2.03127)
   N=3679, steps=956932
     Blaze       = 1        (2.03919)
   N=4046, steps=864457
     Blaze       = 1        (2.04284)
   N=4450, steps=793195
     Blaze       = 1        (2.03183)
   N=4895, steps=716267
     Blaze       = 1        (2.02707)
   N=5384, steps=620141
     Blaze       = 1        (1.98881)
   N=5922, steps=582495
